MTU,Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),date,country
14:00 - 15:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,11284.0,n/e,6275.0,1565.0,n/e,n/e,n/e,n/e,1723.0,2022-01-01,SE
15:00 - 16:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,11255.0,n/e,6275.0,1565.0,n/e,n/e,n/e,n/e,1803.0,2022-01-01,SE
16:00 - 17:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,11635.0,n/e,6329.0,1570.0,n/e,n/e,n/e,n/e,2043.0,2022-01-01,SE
17:00 - 18:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,11567.0,n/e,6344.0,1583.0,n/e,n/e,n/e,n/e,2459.0,2022-01-01,SE
18:00 - 19:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,11850.0,n/e,6344.0,1584.0,n/e,n/e,n/e,n/e,2985.0,2022-01-01,SE
19:00 - 20:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,11366.0,n/e,6349.0,1583.0,n/e,n/e,n/e,n/e,3450.0,2022-01-01,SE
20:00 - 21:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,11036.0,n/e,6353.0,1589.0,n/e,n/e,n/e,n/e,4114.0,2022-01-01,SE
21:00 - 22:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10875.0,n/e,6354.0,1590.0,n/e,n/e,n/e,n/e,4848.0,2022-01-01,SE
22:00 - 23:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10102.0,n/e,6354.0,1575.0,n/e,n/e,n/e,n/e,5364.0,2022-01-01,SE
23:00 - 00:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9764.0,n/e,6356.0,1482.0,n/e,n/e,n/e,n/e,5716.0,2022-01-01,SE
00:00 - 01:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7065.0,n/e,6359.0,1371.0,n/e,n/e,n/e,n/e,6177.0,2022-01-02,SE
01:00 - 02:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6519.0,n/e,6357.0,1307.0,n/e,n/e,n/e,n/e,6234.0,2022-01-02,SE
02:00 - 03:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6271.0,n/e,6359.0,1260.0,n/e,n/e,n/e,n/e,6296.0,2022-01-02,SE
03:00 - 04:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5353.0,n/e,6357.0,1258.0,n/e,n/e,n/e,n/e,6257.0,2022-01-02,SE
04:00 - 05:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5056.0,n/e,6359.0,1286.0,n/e,n/e,n/e,n/e,6034.0,2022-01-02,SE
05:00 - 06:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5120.0,n/e,6360.0,1290.0,n/e,n/e,n/e,n/e,5732.0,2022-01-02,SE
06:00 - 07:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5448.0,n/e,6361.0,1282.0,n/e,n/e,n/e,n/e,5394.0,2022-01-02,SE
07:00 - 08:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6597.0,n/e,6360.0,1343.0,n/e,n/e,n/e,n/e,5004.0,2022-01-02,SE
08:00 - 09:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7221.0,n/e,6361.0,1384.0,n/e,n/e,n/e,n/e,4738.0,2022-01-02,SE
09:00 - 10:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8378.0,n/e,6360.0,1465.0,n/e,n/e,n/e,n/e,4387.0,2022-01-02,SE
10:00 - 11:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8845.0,n/e,6359.0,1483.0,n/e,n/e,n/e,n/e,4095.0,2022-01-02,SE
11:00 - 12:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9036.0,n/e,6359.0,1506.0,n/e,n/e,n/e,n/e,3771.0,2022-01-02,SE
12:00 - 13:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9129.0,n/e,6359.0,1513.0,n/e,n/e,n/e,n/e,3636.0,2022-01-02,SE
13:00 - 14:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9257.0,n/e,6360.0,1511.0,n/e,n/e,n/e,n/e,3356.0,2022-01-02,SE
14:00 - 15:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9462.0,n/e,6387.0,1516.0,n/e,n/e,n/e,n/e,3092.0,2022-01-02,SE
15:00 - 16:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9711.0,n/e,6412.0,1474.0,n/e,n/e,n/e,n/e,2810.0,2022-01-02,SE
16:00 - 17:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9776.0,n/e,6414.0,1519.0,n/e,n/e,n/e,n/e,2604.0,2022-01-02,SE
17:00 - 18:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9904.0,n/e,6413.0,1538.0,n/e,n/e,n/e,n/e,2462.0,2022-01-02,SE
18:00 - 19:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9770.0,n/e,6414.0,1526.0,n/e,n/e,n/e,n/e,2421.0,2022-01-02,SE
19:00 - 20:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9569.0,n/e,6414.0,1532.0,n/e,n/e,n/e,n/e,2360.0,2022-01-02,SE
20:00 - 21:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9394.0,n/e,6413.0,1470.0,n/e,n/e,n/e,n/e,2369.0,2022-01-02,SE
21:00 - 22:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8605.0,n/e,6414.0,1439.0,n/e,n/e,n/e,n/e,2410.0,2022-01-02,SE
22:00 - 23:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8364.0,n/e,6413.0,1443.0,n/e,n/e,n/e,n/e,2610.0,2022-01-02,SE
23:00 - 00:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6719.0,n/e,6413.0,1413.0,n/e,n/e,n/e,n/e,2647.0,2022-01-02,SE
00:00 - 01:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5453.0,n/e,6411.0,1393.0,n/e,n/e,n/e,n/e,2723.0,2022-01-03,SE
01:00 - 02:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5267.0,n/e,6411.0,1384.0,n/e,n/e,n/e,n/e,2811.0,2022-01-03,SE
02:00 - 03:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5243.0,n/e,6411.0,1405.0,n/e,n/e,n/e,n/e,2672.0,2022-01-03,SE
03:00 - 04:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5279.0,n/e,6412.0,1408.0,n/e,n/e,n/e,n/e,2652.0,2022-01-03,SE
04:00 - 05:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5794.0,n/e,6412.0,1428.0,n/e,n/e,n/e,n/e,2609.0,2022-01-03,SE
05:00 - 06:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6262.0,n/e,6411.0,1458.0,n/e,n/e,n/e,n/e,2539.0,2022-01-03,SE
06:00 - 07:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8233.0,n/e,6412.0,1509.0,n/e,n/e,n/e,n/e,2583.0,2022-01-03,SE
07:00 - 08:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10015.0,n/e,6412.0,1627.0,n/e,n/e,n/e,n/e,2622.0,2022-01-03,SE
08:00 - 09:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10398.0,n/e,6411.0,1625.0,n/e,n/e,n/e,n/e,2620.0,2022-01-03,SE
09:00 - 10:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10467.0,n/e,6409.0,1617.0,n/e,n/e,n/e,n/e,2559.0,2022-01-03,SE
10:00 - 11:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10307.0,n/e,6410.0,1602.0,n/e,n/e,n/e,n/e,2718.0,2022-01-03,SE
11:00 - 12:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10379.0,n/e,6411.0,1612.0,n/e,n/e,n/e,n/e,2970.0,2022-01-03,SE
12:00 - 13:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10487.0,n/e,6411.0,1612.0,n/e,n/e,n/e,n/e,2957.0,2022-01-03,SE
13:00 - 14:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10522.0,n/e,6411.0,1600.0,n/e,n/e,n/e,n/e,3180.0,2022-01-03,SE
14:00 - 15:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10428.0,n/e,6412.0,1606.0,n/e,n/e,n/e,n/e,3346.0,2022-01-03,SE
15:00 - 16:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10507.0,n/e,6410.0,1627.0,n/e,n/e,n/e,n/e,3615.0,2022-01-03,SE
16:00 - 17:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10487.0,n/e,6409.0,1642.0,n/e,n/e,n/e,n/e,3857.0,2022-01-03,SE
17:00 - 18:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10460.0,n/e,6408.0,1650.0,n/e,n/e,n/e,n/e,4090.0,2022-01-03,SE
18:00 - 19:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10242.0,n/e,6410.0,1644.0,n/e,n/e,n/e,n/e,4355.0,2022-01-03,SE
19:00 - 20:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10308.0,n/e,6408.0,1653.0,n/e,n/e,n/e,n/e,4530.0,2022-01-03,SE
20:00 - 21:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9763.0,n/e,6410.0,1622.0,n/e,n/e,n/e,n/e,4680.0,2022-01-03,SE
21:00 - 22:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9161.0,n/e,6411.0,1548.0,n/e,n/e,n/e,n/e,4788.0,2022-01-03,SE
22:00 - 23:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8740.0,n/e,6411.0,1502.0,n/e,n/e,n/e,n/e,4870.0,2022-01-03,SE
23:00 - 00:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8188.0,n/e,6411.0,1437.0,n/e,n/e,n/e,n/e,5026.0,2022-01-03,SE
00:00 - 01:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7080.0,n/e,6405.0,1364.0,n/e,n/e,n/e,n/e,5154.0,2022-01-04,SE
01:00 - 02:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6790.0,n/e,6405.0,1341.0,n/e,n/e,n/e,n/e,5021.0,2022-01-04,SE
02:00 - 03:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6626.0,n/e,6405.0,1325.0,n/e,n/e,n/e,n/e,4839.0,2022-01-04,SE
03:00 - 04:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6691.0,n/e,6419.0,1328.0,n/e,n/e,n/e,n/e,4749.0,2022-01-04,SE
04:00 - 05:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7315.0,n/e,6502.0,1374.0,n/e,n/e,n/e,n/e,4669.0,2022-01-04,SE
05:00 - 06:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7912.0,n/e,6596.0,1468.0,n/e,n/e,n/e,n/e,4713.0,2022-01-04,SE
06:00 - 07:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8552.0,n/e,6724.0,1565.0,n/e,n/e,n/e,n/e,4589.0,2022-01-04,SE
07:00 - 08:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8910.0,n/e,6809.0,1666.0,n/e,n/e,n/e,n/e,4432.0,2022-01-04,SE
08:00 - 09:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9864.0,n/e,6852.0,1691.0,n/e,n/e,n/e,n/e,4154.0,2022-01-04,SE
09:00 - 10:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9870.0,n/e,6923.0,1699.0,n/e,n/e,n/e,n/e,4062.0,2022-01-04,SE
10:00 - 11:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10082.0,n/e,6944.0,1702.0,n/e,n/e,n/e,n/e,3720.0,2022-01-04,SE
11:00 - 12:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10266.0,n/e,6949.0,1713.0,n/e,n/e,n/e,n/e,3534.0,2022-01-04,SE
12:00 - 13:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10871.0,n/e,6960.0,1700.0,n/e,n/e,n/e,n/e,3244.0,2022-01-04,SE
13:00 - 14:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10844.0,n/e,6970.0,1701.0,n/e,n/e,n/e,n/e,3127.0,2022-01-04,SE
14:00 - 15:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10855.0,n/e,6973.0,1719.0,n/e,n/e,n/e,n/e,3110.0,2022-01-04,SE
15:00 - 16:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10869.0,n/e,6974.0,1715.0,n/e,n/e,n/e,n/e,2993.0,2022-01-04,SE
16:00 - 17:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10835.0,n/e,6972.0,1733.0,n/e,n/e,n/e,n/e,2868.0,2022-01-04,SE
17:00 - 18:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10793.0,n/e,6972.0,1732.0,n/e,n/e,n/e,n/e,2771.0,2022-01-04,SE
18:00 - 19:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10757.0,n/e,6972.0,1728.0,n/e,n/e,n/e,n/e,2656.0,2022-01-04,SE
19:00 - 20:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10940.0,n/e,6971.0,1731.0,n/e,n/e,n/e,n/e,2578.0,2022-01-04,SE
20:00 - 21:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10753.0,n/e,6972.0,1716.0,n/e,n/e,n/e,n/e,2568.0,2022-01-04,SE
21:00 - 22:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10580.0,n/e,6974.0,1661.0,n/e,n/e,n/e,n/e,2459.0,2022-01-04,SE
22:00 - 23:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10631.0,n/e,6974.0,1652.0,n/e,n/e,n/e,n/e,2454.0,2022-01-04,SE
23:00 - 00:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10440.0,n/e,6974.0,1632.0,n/e,n/e,n/e,n/e,2331.0,2022-01-04,SE
00:00 - 01:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10452.0,n/e,6975.0,1538.0,n/e,n/e,n/e,n/e,2242.0,2022-01-05,SE
01:00 - 02:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10279.0,n/e,6976.0,1440.0,n/e,n/e,n/e,n/e,2253.0,2022-01-05,SE
02:00 - 03:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10250.0,n/e,6973.0,1384.0,n/e,n/e,n/e,n/e,2269.0,2022-01-05,SE
03:00 - 04:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10208.0,n/e,6972.0,1381.0,n/e,n/e,n/e,n/e,2283.0,2022-01-05,SE
04:00 - 05:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10281.0,n/e,6974.0,1424.0,n/e,n/e,n/e,n/e,2232.0,2022-01-05,SE
05:00 - 06:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10396.0,n/e,6973.0,1536.0,n/e,n/e,n/e,n/e,2285.0,2022-01-05,SE
06:00 - 07:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,11015.0,n/e,6975.0,1616.0,n/e,n/e,n/e,n/e,2311.0,2022-01-05,SE
07:00 - 08:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,11430.0,n/e,6976.0,1689.0,n/e,n/e,n/e,n/e,2304.0,2022-01-05,SE
08:00 - 09:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,11526.0,n/e,6976.0,1711.0,n/e,n/e,n/e,n/e,2137.0,2022-01-05,SE
09:00 - 10:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,11458.0,n/e,6975.0,1700.0,n/e,n/e,n/e,n/e,2162.0,2022-01-05,SE
10:00 - 11:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,11300.0,n/e,6982.0,1711.0,n/e,n/e,n/e,n/e,2105.0,2022-01-05,SE
11:00 - 12:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,11181.0,n/e,6977.0,1726.0,n/e,n/e,n/e,n/e,2116.0,2022-01-05,SE
12:00 - 13:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,11035.0,n/e,6977.0,1711.0,n/e,n/e,n/e,n/e,2142.0,2022-01-05,SE
13:00 - 14:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10942.0,n/e,6977.0,1708.0,n/e,n/e,n/e,n/e,2400.0,2022-01-05,SE
14:00 - 15:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10792.0,n/e,6977.0,1720.0,n/e,n/e,n/e,n/e,2736.0,2022-01-05,SE
15:00 - 16:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10839.0,n/e,6976.0,1671.0,n/e,n/e,n/e,n/e,3030.0,2022-01-05,SE
16:00 - 17:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10862.0,n/e,6976.0,1737.0,n/e,n/e,n/e,n/e,3277.0,2022-01-05,SE
17:00 - 18:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10800.0,n/e,6974.0,1720.0,n/e,n/e,n/e,n/e,3487.0,2022-01-05,SE
18:00 - 19:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10543.0,n/e,6973.0,1729.0,n/e,n/e,n/e,n/e,4106.0,2022-01-05,SE
19:00 - 20:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10311.0,n/e,6972.0,1742.0,n/e,n/e,n/e,n/e,4584.0,2022-01-05,SE
20:00 - 21:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9991.0,n/e,6971.0,1748.0,n/e,n/e,n/e,n/e,4871.0,2022-01-05,SE
21:00 - 22:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9493.0,n/e,6972.0,1745.0,n/e,n/e,n/e,n/e,5053.0,2022-01-05,SE
22:00 - 23:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8973.0,n/e,6972.0,1748.0,n/e,n/e,n/e,n/e,5343.0,2022-01-05,SE
23:00 - 00:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8847.0,n/e,6972.0,1697.0,n/e,n/e,n/e,n/e,5568.0,2022-01-05,SE
00:00 - 01:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9055.0,n/e,6971.0,1544.0,n/e,n/e,n/e,n/e,5712.0,2022-01-06,SE
