MTU,Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),date,country
14:00 - 15:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8289.0,n/e,4737.0,918.0,n/e,n/e,n/e,n/e,2765.0,2022-06-01,SE
15:00 - 16:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8205.0,n/e,4732.0,912.0,n/e,n/e,n/e,n/e,2888.0,2022-06-01,SE
16:00 - 17:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8216.0,n/e,4731.0,932.0,n/e,n/e,n/e,n/e,2887.0,2022-06-01,SE
17:00 - 18:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8493.0,n/e,4731.0,1091.0,n/e,n/e,n/e,n/e,2863.0,2022-06-01,SE
18:00 - 19:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8562.0,n/e,4732.0,1091.0,n/e,n/e,n/e,n/e,2800.0,2022-06-01,SE
19:00 - 20:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8257.0,n/e,4733.0,1083.0,n/e,n/e,n/e,n/e,2682.0,2022-06-01,SE
20:00 - 21:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8206.0,n/e,4736.0,1071.0,n/e,n/e,n/e,n/e,2664.0,2022-06-01,SE
21:00 - 22:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8210.0,n/e,4745.0,1060.0,n/e,n/e,n/e,n/e,2790.0,2022-06-01,SE
22:00 - 23:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7869.0,n/e,4743.0,1074.0,n/e,n/e,n/e,n/e,2829.0,2022-06-01,SE
23:00 - 00:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7742.0,n/e,4738.0,1045.0,n/e,n/e,n/e,n/e,2871.0,2022-06-01,SE
00:00 - 01:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7300.0,n/e,4724.0,841.0,n/e,n/e,n/e,n/e,2845.0,2022-06-02,SE
01:00 - 02:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7311.0,n/e,4721.0,740.0,n/e,n/e,n/e,n/e,2726.0,2022-06-02,SE
02:00 - 03:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7264.0,n/e,4722.0,742.0,n/e,n/e,n/e,n/e,2602.0,2022-06-02,SE
03:00 - 04:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7414.0,n/e,4722.0,742.0,n/e,n/e,n/e,n/e,2401.0,2022-06-02,SE
04:00 - 05:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7780.0,n/e,4725.0,743.0,n/e,n/e,n/e,n/e,2135.0,2022-06-02,SE
05:00 - 06:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8170.0,n/e,4727.0,736.0,n/e,n/e,n/e,n/e,1826.0,2022-06-02,SE
06:00 - 07:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8771.0,n/e,4727.0,742.0,n/e,n/e,n/e,n/e,1625.0,2022-06-02,SE
07:00 - 08:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9161.0,n/e,4728.0,785.0,n/e,n/e,n/e,n/e,1509.0,2022-06-02,SE
08:00 - 09:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9162.0,n/e,4725.0,762.0,n/e,n/e,n/e,n/e,1619.0,2022-06-02,SE
09:00 - 10:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9055.0,n/e,4731.0,757.0,n/e,n/e,n/e,n/e,1815.0,2022-06-02,SE
10:00 - 11:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8943.0,n/e,4733.0,755.0,n/e,n/e,n/e,n/e,2006.0,2022-06-02,SE
11:00 - 12:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8885.0,n/e,4735.0,818.0,n/e,n/e,n/e,n/e,2058.0,2022-06-02,SE
12:00 - 13:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8812.0,n/e,4735.0,762.0,n/e,n/e,n/e,n/e,2093.0,2022-06-02,SE
13:00 - 14:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8769.0,n/e,4733.0,725.0,n/e,n/e,n/e,n/e,2187.0,2022-06-02,SE
14:00 - 15:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8686.0,n/e,4732.0,731.0,n/e,n/e,n/e,n/e,2427.0,2022-06-02,SE
15:00 - 16:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8654.0,n/e,4731.0,729.0,n/e,n/e,n/e,n/e,2544.0,2022-06-02,SE
16:00 - 17:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8364.0,n/e,4731.0,721.0,n/e,n/e,n/e,n/e,2634.0,2022-06-02,SE
17:00 - 18:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8373.0,n/e,4730.0,685.0,n/e,n/e,n/e,n/e,2800.0,2022-06-02,SE
18:00 - 19:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8492.0,n/e,4729.0,670.0,n/e,n/e,n/e,n/e,2709.0,2022-06-02,SE
19:00 - 20:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8328.0,n/e,4729.0,668.0,n/e,n/e,n/e,n/e,2688.0,2022-06-02,SE
20:00 - 21:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8244.0,n/e,4730.0,669.0,n/e,n/e,n/e,n/e,3057.0,2022-06-02,SE
21:00 - 22:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7783.0,n/e,4732.0,640.0,n/e,n/e,n/e,n/e,3479.0,2022-06-02,SE
22:00 - 23:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7032.0,n/e,4732.0,623.0,n/e,n/e,n/e,n/e,4343.0,2022-06-02,SE
23:00 - 00:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6558.0,n/e,4721.0,602.0,n/e,n/e,n/e,n/e,4802.0,2022-06-02,SE
00:00 - 01:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5430.0,n/e,4734.0,540.0,n/e,n/e,n/e,n/e,4849.0,2022-06-03,SE
01:00 - 02:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5248.0,n/e,4736.0,529.0,n/e,n/e,n/e,n/e,4607.0,2022-06-03,SE
02:00 - 03:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5138.0,n/e,4738.0,529.0,n/e,n/e,n/e,n/e,4528.0,2022-06-03,SE
03:00 - 04:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5249.0,n/e,4733.0,523.0,n/e,n/e,n/e,n/e,4427.0,2022-06-03,SE
04:00 - 05:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5298.0,n/e,4736.0,580.0,n/e,n/e,n/e,n/e,4335.0,2022-06-03,SE
05:00 - 06:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6265.0,n/e,4736.0,618.0,n/e,n/e,n/e,n/e,4093.0,2022-06-03,SE
06:00 - 07:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7231.0,n/e,4735.0,677.0,n/e,n/e,n/e,n/e,3842.0,2022-06-03,SE
07:00 - 08:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7419.0,n/e,4735.0,834.0,n/e,n/e,n/e,n/e,3570.0,2022-06-03,SE
08:00 - 09:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7543.0,n/e,4735.0,742.0,n/e,n/e,n/e,n/e,3296.0,2022-06-03,SE
09:00 - 10:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7475.0,n/e,4734.0,738.0,n/e,n/e,n/e,n/e,3123.0,2022-06-03,SE
10:00 - 11:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7272.0,n/e,4734.0,682.0,n/e,n/e,n/e,n/e,2914.0,2022-06-03,SE
11:00 - 12:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7079.0,n/e,4734.0,685.0,n/e,n/e,n/e,n/e,2786.0,2022-06-03,SE
12:00 - 13:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7064.0,n/e,4735.0,671.0,n/e,n/e,n/e,n/e,2914.0,2022-06-03,SE
13:00 - 14:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7080.0,n/e,4737.0,657.0,n/e,n/e,n/e,n/e,3182.0,2022-06-03,SE
14:00 - 15:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7136.0,n/e,4735.0,641.0,n/e,n/e,n/e,n/e,3419.0,2022-06-03,SE
15:00 - 16:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7260.0,n/e,4733.0,629.0,n/e,n/e,n/e,n/e,3505.0,2022-06-03,SE
16:00 - 17:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7267.0,n/e,4734.0,633.0,n/e,n/e,n/e,n/e,3610.0,2022-06-03,SE
17:00 - 18:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7753.0,n/e,4732.0,625.0,n/e,n/e,n/e,n/e,3615.0,2022-06-03,SE
18:00 - 19:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7834.0,n/e,4731.0,599.0,n/e,n/e,n/e,n/e,3479.0,2022-06-03,SE
19:00 - 20:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7593.0,n/e,4728.0,578.0,n/e,n/e,n/e,n/e,3426.0,2022-06-03,SE
20:00 - 21:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7285.0,n/e,4729.0,566.0,n/e,n/e,n/e,n/e,3426.0,2022-06-03,SE
21:00 - 22:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7205.0,n/e,4732.0,558.0,n/e,n/e,n/e,n/e,3668.0,2022-06-03,SE
22:00 - 23:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6834.0,n/e,4731.0,533.0,n/e,n/e,n/e,n/e,4170.0,2022-06-03,SE
23:00 - 00:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6488.0,n/e,4721.0,514.0,n/e,n/e,n/e,n/e,4628.0,2022-06-03,SE
00:00 - 01:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5825.0,n/e,4735.0,497.0,n/e,n/e,n/e,n/e,5038.0,2022-06-04,SE
01:00 - 02:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5678.0,n/e,4737.0,493.0,n/e,n/e,n/e,n/e,5345.0,2022-06-04,SE
02:00 - 03:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5487.0,n/e,4738.0,514.0,n/e,n/e,n/e,n/e,5380.0,2022-06-04,SE
03:00 - 04:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5428.0,n/e,4739.0,522.0,n/e,n/e,n/e,n/e,5298.0,2022-06-04,SE
04:00 - 05:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5429.0,n/e,4738.0,561.0,n/e,n/e,n/e,n/e,5011.0,2022-06-04,SE
05:00 - 06:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5679.0,n/e,4737.0,599.0,n/e,n/e,n/e,n/e,4565.0,2022-06-04,SE
06:00 - 07:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6128.0,n/e,4737.0,628.0,n/e,n/e,n/e,n/e,4164.0,2022-06-04,SE
07:00 - 08:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6357.0,n/e,4736.0,638.0,n/e,n/e,n/e,n/e,3910.0,2022-06-04,SE
08:00 - 09:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6655.0,n/e,4732.0,649.0,n/e,n/e,n/e,n/e,3648.0,2022-06-04,SE
09:00 - 10:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6889.0,n/e,4731.0,687.0,n/e,n/e,n/e,n/e,3371.0,2022-06-04,SE
10:00 - 11:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7077.0,n/e,4732.0,721.0,n/e,n/e,n/e,n/e,3194.0,2022-06-04,SE
11:00 - 12:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7089.0,n/e,4731.0,745.0,n/e,n/e,n/e,n/e,3158.0,2022-06-04,SE
12:00 - 13:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5909.0,n/e,4730.0,754.0,n/e,n/e,n/e,n/e,3008.0,2022-06-04,SE
13:00 - 14:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5770.0,n/e,4730.0,759.0,n/e,n/e,n/e,n/e,3097.0,2022-06-04,SE
14:00 - 15:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5753.0,n/e,4731.0,761.0,n/e,n/e,n/e,n/e,3240.0,2022-06-04,SE
15:00 - 16:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5938.0,n/e,4729.0,715.0,n/e,n/e,n/e,n/e,3265.0,2022-06-04,SE
16:00 - 17:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6090.0,n/e,4730.0,670.0,n/e,n/e,n/e,n/e,3463.0,2022-06-04,SE
17:00 - 18:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6180.0,n/e,4730.0,643.0,n/e,n/e,n/e,n/e,3334.0,2022-06-04,SE
18:00 - 19:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6297.0,n/e,4726.0,598.0,n/e,n/e,n/e,n/e,3238.0,2022-06-04,SE
19:00 - 20:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6512.0,n/e,4723.0,583.0,n/e,n/e,n/e,n/e,3016.0,2022-06-04,SE
20:00 - 21:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6517.0,n/e,4716.0,570.0,n/e,n/e,n/e,n/e,3030.0,2022-06-04,SE
21:00 - 22:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6487.0,n/e,4723.0,563.0,n/e,n/e,n/e,n/e,3105.0,2022-06-04,SE
22:00 - 23:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6485.0,n/e,4726.0,556.0,n/e,n/e,n/e,n/e,3406.0,2022-06-04,SE
23:00 - 00:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6341.0,n/e,4722.0,557.0,n/e,n/e,n/e,n/e,3904.0,2022-06-04,SE
00:00 - 01:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5951.0,n/e,4733.0,548.0,n/e,n/e,n/e,n/e,4131.0,2022-06-05,SE
01:00 - 02:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5752.0,n/e,4729.0,545.0,n/e,n/e,n/e,n/e,4418.0,2022-06-05,SE
02:00 - 03:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5724.0,n/e,4736.0,514.0,n/e,n/e,n/e,n/e,4482.0,2022-06-05,SE
03:00 - 04:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5638.0,n/e,4736.0,503.0,n/e,n/e,n/e,n/e,4409.0,2022-06-05,SE
04:00 - 05:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5613.0,n/e,4737.0,496.0,n/e,n/e,n/e,n/e,4064.0,2022-06-05,SE
05:00 - 06:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5926.0,n/e,4738.0,499.0,n/e,n/e,n/e,n/e,3780.0,2022-06-05,SE
06:00 - 07:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5802.0,n/e,4737.0,486.0,n/e,n/e,n/e,n/e,3570.0,2022-06-05,SE
07:00 - 08:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5713.0,n/e,4737.0,581.0,n/e,n/e,n/e,n/e,3551.0,2022-06-05,SE
08:00 - 09:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5923.0,n/e,4737.0,620.0,n/e,n/e,n/e,n/e,3652.0,2022-06-05,SE
09:00 - 10:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5888.0,n/e,4737.0,679.0,n/e,n/e,n/e,n/e,3831.0,2022-06-05,SE
10:00 - 11:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5886.0,n/e,4733.0,683.0,n/e,n/e,n/e,n/e,4076.0,2022-06-05,SE
11:00 - 12:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5756.0,n/e,4728.0,638.0,n/e,n/e,n/e,n/e,4158.0,2022-06-05,SE
12:00 - 13:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5392.0,n/e,4728.0,662.0,n/e,n/e,n/e,n/e,4270.0,2022-06-05,SE
13:00 - 14:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5452.0,n/e,4730.0,683.0,n/e,n/e,n/e,n/e,4261.0,2022-06-05,SE
14:00 - 15:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5401.0,n/e,4730.0,682.0,n/e,n/e,n/e,n/e,4273.0,2022-06-05,SE
15:00 - 16:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5405.0,n/e,4732.0,653.0,n/e,n/e,n/e,n/e,4130.0,2022-06-05,SE
16:00 - 17:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5517.0,n/e,4731.0,614.0,n/e,n/e,n/e,n/e,3998.0,2022-06-05,SE
17:00 - 18:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5660.0,n/e,4730.0,583.0,n/e,n/e,n/e,n/e,3837.0,2022-06-05,SE
18:00 - 19:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6141.0,n/e,4729.0,567.0,n/e,n/e,n/e,n/e,3669.0,2022-06-05,SE
19:00 - 20:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6491.0,n/e,4719.0,531.0,n/e,n/e,n/e,n/e,3421.0,2022-06-05,SE
20:00 - 21:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6762.0,n/e,4719.0,524.0,n/e,n/e,n/e,n/e,3309.0,2022-06-05,SE
21:00 - 22:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6917.0,n/e,4718.0,551.0,n/e,n/e,n/e,n/e,3111.0,2022-06-05,SE
22:00 - 23:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6789.0,n/e,4718.0,550.0,n/e,n/e,n/e,n/e,3013.0,2022-06-05,SE
23:00 - 00:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6191.0,n/e,4723.0,553.0,n/e,n/e,n/e,n/e,2862.0,2022-06-05,SE
00:00 - 01:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6182.0,n/e,4717.0,479.0,n/e,n/e,n/e,n/e,2928.0,2022-06-06,SE
01:00 - 02:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6215.0,n/e,4719.0,468.0,n/e,n/e,n/e,n/e,2937.0,2022-06-06,SE
