MTU,Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),Sweden (SE),date,country
14:00 - 15:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9368.0,n/e,8197.0,1313.0,n/e,n/e,n/e,n/e,2078.0,2016-01-01,SE
15:00 - 16:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9967.0,n/e,8195.0,1325.0,n/e,n/e,n/e,n/e,2121.0,2016-01-01,SE
16:00 - 17:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10340.0,n/e,8194.0,1293.0,n/e,n/e,n/e,n/e,2132.0,2016-01-01,SE
17:00 - 18:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10433.0,n/e,8195.0,1310.0,n/e,n/e,n/e,n/e,2122.0,2016-01-01,SE
18:00 - 19:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10313.0,n/e,8197.0,1401.0,n/e,n/e,n/e,n/e,2157.0,2016-01-01,SE
19:00 - 20:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10025.0,n/e,8197.0,1386.0,n/e,n/e,n/e,n/e,2254.0,2016-01-01,SE
20:00 - 21:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9448.0,n/e,8197.0,1376.0,n/e,n/e,n/e,n/e,2229.0,2016-01-01,SE
21:00 - 22:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9232.0,n/e,8199.0,1353.0,n/e,n/e,n/e,n/e,2169.0,2016-01-01,SE
22:00 - 23:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8553.0,n/e,8198.0,1335.0,n/e,n/e,n/e,n/e,2052.0,2016-01-01,SE
23:00 - 00:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7754.0,n/e,8201.0,1303.0,n/e,n/e,n/e,n/e,1995.0,2016-01-01,SE
00:00 - 01:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6254.0,n/e,8199.0,1293.0,n/e,n/e,n/e,n/e,1997.0,2016-01-02,SE
01:00 - 02:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5673.0,n/e,8207.0,1288.0,n/e,n/e,n/e,n/e,2036.0,2016-01-02,SE
02:00 - 03:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,4869.0,n/e,8207.0,1305.0,n/e,n/e,n/e,n/e,2141.0,2016-01-02,SE
03:00 - 04:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,4557.0,n/e,8207.0,1306.0,n/e,n/e,n/e,n/e,2218.0,2016-01-02,SE
04:00 - 05:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,4523.0,n/e,8206.0,1310.0,n/e,n/e,n/e,n/e,2250.0,2016-01-02,SE
05:00 - 06:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,4584.0,n/e,8206.0,1320.0,n/e,n/e,n/e,n/e,2328.0,2016-01-02,SE
06:00 - 07:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,4675.0,n/e,8200.0,1383.0,n/e,n/e,n/e,n/e,2497.0,2016-01-02,SE
07:00 - 08:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6007.0,n/e,8199.0,1419.0,n/e,n/e,n/e,n/e,2592.0,2016-01-02,SE
08:00 - 09:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7212.0,n/e,8201.0,1432.0,n/e,n/e,n/e,n/e,2609.0,2016-01-02,SE
09:00 - 10:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8096.0,n/e,8201.0,1461.0,n/e,n/e,n/e,n/e,2590.0,2016-01-02,SE
10:00 - 11:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8483.0,n/e,8208.0,1533.0,n/e,n/e,n/e,n/e,2590.0,2016-01-02,SE
11:00 - 12:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8685.0,n/e,8212.0,1555.0,n/e,n/e,n/e,n/e,2527.0,2016-01-02,SE
12:00 - 13:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9049.0,n/e,8212.0,1560.0,n/e,n/e,n/e,n/e,2440.0,2016-01-02,SE
13:00 - 14:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9083.0,n/e,8214.0,1567.0,n/e,n/e,n/e,n/e,2339.0,2016-01-02,SE
14:00 - 15:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9254.0,n/e,8215.0,1576.0,n/e,n/e,n/e,n/e,2315.0,2016-01-02,SE
15:00 - 16:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9519.0,n/e,8214.0,1567.0,n/e,n/e,n/e,n/e,2254.0,2016-01-02,SE
16:00 - 17:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9765.0,n/e,8212.0,1554.0,n/e,n/e,n/e,n/e,2269.0,2016-01-02,SE
17:00 - 18:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9794.0,n/e,8212.0,1556.0,n/e,n/e,n/e,n/e,2308.0,2016-01-02,SE
18:00 - 19:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9699.0,n/e,8211.0,1554.0,n/e,n/e,n/e,n/e,2312.0,2016-01-02,SE
19:00 - 20:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9550.0,n/e,8215.0,1547.0,n/e,n/e,n/e,n/e,2258.0,2016-01-02,SE
20:00 - 21:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9239.0,n/e,8214.0,1533.0,n/e,n/e,n/e,n/e,2206.0,2016-01-02,SE
21:00 - 22:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9089.0,n/e,8215.0,1498.0,n/e,n/e,n/e,n/e,2208.0,2016-01-02,SE
22:00 - 23:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8500.0,n/e,8215.0,1463.0,n/e,n/e,n/e,n/e,2126.0,2016-01-02,SE
23:00 - 00:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7690.0,n/e,8214.0,1446.0,n/e,n/e,n/e,n/e,2038.0,2016-01-02,SE
00:00 - 01:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6096.0,n/e,8214.0,1412.0,n/e,n/e,n/e,n/e,2001.0,2016-01-03,SE
01:00 - 02:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5600.0,n/e,8216.0,1412.0,n/e,n/e,n/e,n/e,1842.0,2016-01-03,SE
02:00 - 03:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5413.0,n/e,8221.0,1438.0,n/e,n/e,n/e,n/e,1734.0,2016-01-03,SE
03:00 - 04:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5441.0,n/e,8219.0,1477.0,n/e,n/e,n/e,n/e,1694.0,2016-01-03,SE
04:00 - 05:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5460.0,n/e,8220.0,1474.0,n/e,n/e,n/e,n/e,1644.0,2016-01-03,SE
05:00 - 06:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,5706.0,n/e,8222.0,1432.0,n/e,n/e,n/e,n/e,1559.0,2016-01-03,SE
06:00 - 07:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6411.0,n/e,8223.0,1451.0,n/e,n/e,n/e,n/e,1441.0,2016-01-03,SE
07:00 - 08:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7275.0,n/e,8226.0,1458.0,n/e,n/e,n/e,n/e,1327.0,2016-01-03,SE
08:00 - 09:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7802.0,n/e,8223.0,1476.0,n/e,n/e,n/e,n/e,1255.0,2016-01-03,SE
09:00 - 10:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8498.0,n/e,8224.0,1485.0,n/e,n/e,n/e,n/e,1205.0,2016-01-03,SE
10:00 - 11:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9276.0,n/e,8222.0,1517.0,n/e,n/e,n/e,n/e,1194.0,2016-01-03,SE
11:00 - 12:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9490.0,n/e,8220.0,1566.0,n/e,n/e,n/e,n/e,1222.0,2016-01-03,SE
12:00 - 13:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9565.0,n/e,8223.0,1584.0,n/e,n/e,n/e,n/e,1298.0,2016-01-03,SE
13:00 - 14:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9628.0,n/e,8224.0,1589.0,n/e,n/e,n/e,n/e,1263.0,2016-01-03,SE
14:00 - 15:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9769.0,n/e,8226.0,1590.0,n/e,n/e,n/e,n/e,1180.0,2016-01-03,SE
15:00 - 16:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10171.0,n/e,8223.0,1588.0,n/e,n/e,n/e,n/e,1199.0,2016-01-03,SE
16:00 - 17:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10441.0,n/e,8225.0,1576.0,n/e,n/e,n/e,n/e,1225.0,2016-01-03,SE
17:00 - 18:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10456.0,n/e,8223.0,1579.0,n/e,n/e,n/e,n/e,1293.0,2016-01-03,SE
18:00 - 19:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10375.0,n/e,8224.0,1578.0,n/e,n/e,n/e,n/e,1282.0,2016-01-03,SE
19:00 - 20:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10252.0,n/e,8224.0,1571.0,n/e,n/e,n/e,n/e,1323.0,2016-01-03,SE
20:00 - 21:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10045.0,n/e,8229.0,1571.0,n/e,n/e,n/e,n/e,1357.0,2016-01-03,SE
21:00 - 22:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9517.0,n/e,8228.0,1551.0,n/e,n/e,n/e,n/e,1394.0,2016-01-03,SE
22:00 - 23:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9050.0,n/e,8229.0,1541.0,n/e,n/e,n/e,n/e,1470.0,2016-01-03,SE
23:00 - 00:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8451.0,n/e,8230.0,1509.0,n/e,n/e,n/e,n/e,1512.0,2016-01-03,SE
00:00 - 01:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6892.0,n/e,8241.0,1466.0,n/e,n/e,n/e,n/e,1501.0,2016-01-04,SE
01:00 - 02:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6307.0,n/e,8241.0,1428.0,n/e,n/e,n/e,n/e,1489.0,2016-01-04,SE
02:00 - 03:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6141.0,n/e,8241.0,1442.0,n/e,n/e,n/e,n/e,1598.0,2016-01-04,SE
03:00 - 04:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6123.0,n/e,8240.0,1446.0,n/e,n/e,n/e,n/e,1710.0,2016-01-04,SE
04:00 - 05:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6207.0,n/e,8240.0,1449.0,n/e,n/e,n/e,n/e,1713.0,2016-01-04,SE
05:00 - 06:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7150.0,n/e,8240.0,1458.0,n/e,n/e,n/e,n/e,1813.0,2016-01-04,SE
06:00 - 07:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9128.0,n/e,8240.0,1479.0,n/e,n/e,n/e,n/e,1865.0,2016-01-04,SE
07:00 - 08:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10401.0,n/e,8238.0,1540.0,n/e,n/e,n/e,n/e,1867.0,2016-01-04,SE
08:00 - 09:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10870.0,n/e,8236.0,1538.0,n/e,n/e,n/e,n/e,1823.0,2016-01-04,SE
09:00 - 10:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10962.0,n/e,8227.0,1503.0,n/e,n/e,n/e,n/e,1819.0,2016-01-04,SE
10:00 - 11:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,11010.0,n/e,8238.0,1511.0,n/e,n/e,n/e,n/e,1912.0,2016-01-04,SE
11:00 - 12:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10950.0,n/e,8238.0,1492.0,n/e,n/e,n/e,n/e,2025.0,2016-01-04,SE
12:00 - 13:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10944.0,n/e,8240.0,1519.0,n/e,n/e,n/e,n/e,2145.0,2016-01-04,SE
13:00 - 14:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10956.0,n/e,8242.0,1536.0,n/e,n/e,n/e,n/e,2124.0,2016-01-04,SE
14:00 - 15:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10988.0,n/e,8241.0,1554.0,n/e,n/e,n/e,n/e,2136.0,2016-01-04,SE
15:00 - 16:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,11081.0,n/e,8238.0,1558.0,n/e,n/e,n/e,n/e,2242.0,2016-01-04,SE
16:00 - 17:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,11331.0,n/e,8237.0,1566.0,n/e,n/e,n/e,n/e,2336.0,2016-01-04,SE
17:00 - 18:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,11694.0,n/e,8241.0,1578.0,n/e,n/e,n/e,n/e,2406.0,2016-01-04,SE
18:00 - 19:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,11350.0,n/e,8241.0,1591.0,n/e,n/e,n/e,n/e,2310.0,2016-01-04,SE
19:00 - 20:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,11106.0,n/e,8240.0,1603.0,n/e,n/e,n/e,n/e,2216.0,2016-01-04,SE
20:00 - 21:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10797.0,n/e,8238.0,1607.0,n/e,n/e,n/e,n/e,2008.0,2016-01-04,SE
21:00 - 22:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10031.0,n/e,8239.0,1614.0,n/e,n/e,n/e,n/e,1849.0,2016-01-04,SE
22:00 - 23:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9256.0,n/e,8240.0,1593.0,n/e,n/e,n/e,n/e,1756.0,2016-01-04,SE
23:00 - 00:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8599.0,n/e,8239.0,1580.0,n/e,n/e,n/e,n/e,1739.0,2016-01-04,SE
00:00 - 01:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7157.0,n/e,8238.0,1532.0,n/e,n/e,n/e,n/e,1697.0,2016-01-05,SE
01:00 - 02:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6645.0,n/e,8237.0,1514.0,n/e,n/e,n/e,n/e,1605.0,2016-01-05,SE
02:00 - 03:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6551.0,n/e,8237.0,1513.0,n/e,n/e,n/e,n/e,1555.0,2016-01-05,SE
03:00 - 04:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6519.0,n/e,8237.0,1515.0,n/e,n/e,n/e,n/e,1545.0,2016-01-05,SE
04:00 - 05:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,6709.0,n/e,8234.0,1521.0,n/e,n/e,n/e,n/e,1521.0,2016-01-05,SE
05:00 - 06:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7579.0,n/e,8234.0,1526.0,n/e,n/e,n/e,n/e,1480.0,2016-01-05,SE
06:00 - 07:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9347.0,n/e,8233.0,1553.0,n/e,n/e,n/e,n/e,1556.0,2016-01-05,SE
07:00 - 08:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10866.0,n/e,8235.0,1583.0,n/e,n/e,n/e,n/e,1587.0,2016-01-05,SE
08:00 - 09:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,11460.0,n/e,8233.0,1606.0,n/e,n/e,n/e,n/e,1548.0,2016-01-05,SE
09:00 - 10:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,11655.0,n/e,8234.0,1615.0,n/e,n/e,n/e,n/e,1518.0,2016-01-05,SE
10:00 - 11:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,11700.0,n/e,8229.0,1622.0,n/e,n/e,n/e,n/e,1399.0,2016-01-05,SE
11:00 - 12:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,11464.0,n/e,8237.0,1663.0,n/e,n/e,n/e,n/e,1324.0,2016-01-05,SE
12:00 - 13:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,11184.0,n/e,8236.0,1713.0,n/e,n/e,n/e,n/e,1329.0,2016-01-05,SE
13:00 - 14:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,11188.0,n/e,8234.0,1712.0,n/e,n/e,n/e,n/e,1284.0,2016-01-05,SE
14:00 - 15:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,11262.0,n/e,8234.0,1719.0,n/e,n/e,n/e,n/e,1331.0,2016-01-05,SE
15:00 - 16:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,11566.0,n/e,8234.0,1722.0,n/e,n/e,n/e,n/e,1402.0,2016-01-05,SE
16:00 - 17:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,12068.0,n/e,8234.0,1726.0,n/e,n/e,n/e,n/e,1477.0,2016-01-05,SE
17:00 - 18:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,12067.0,n/e,8236.0,1722.0,n/e,n/e,n/e,n/e,1522.0,2016-01-05,SE
18:00 - 19:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,11856.0,n/e,8239.0,1719.0,n/e,n/e,n/e,n/e,1536.0,2016-01-05,SE
19:00 - 20:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,11334.0,n/e,8235.0,1682.0,n/e,n/e,n/e,n/e,1508.0,2016-01-05,SE
20:00 - 21:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10702.0,n/e,8236.0,1655.0,n/e,n/e,n/e,n/e,1429.0,2016-01-05,SE
21:00 - 22:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,10239.0,n/e,8239.0,1640.0,n/e,n/e,n/e,n/e,1358.0,2016-01-05,SE
22:00 - 23:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9470.0,n/e,8238.0,1608.0,n/e,n/e,n/e,n/e,1339.0,2016-01-05,SE
23:00 - 00:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,8931.0,n/e,8237.0,1581.0,n/e,n/e,n/e,n/e,1361.0,2016-01-05,SE
00:00 - 01:00,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7957.0,n/e,8240.0,1549.0,n/e,n/e,n/e,n/e,1378.0,2016-01-06,SE
