Time,Day-ahead Total Load Forecast,Actual Total Load,Date,Country
00:00 - 00:15,43567.0,44983.0,2021-01-01,DE
00:15 - 00:30,43371.0,44771.0,2021-01-01,DE
00:30 - 00:45,42884.0,44413.0,2021-01-01,DE
00:45 - 01:00,42803.0,44177.0,2021-01-01,DE
01:00 - 01:15,42096.0,43517.0,2021-01-01,DE
01:15 - 01:30,41824.0,42998.0,2021-01-01,DE
01:30 - 01:45,41426.0,42494.0,2021-01-01,DE
01:45 - 02:00,41051.0,42320.0,2021-01-01,DE
02:00 - 02:15,40781.0,41598.0,2021-01-01,DE
02:15 - 02:30,40703.0,41214.0,2021-01-01,DE
02:30 - 02:45,40420.0,40967.0,2021-01-01,DE
02:45 - 03:00,40150.0,40665.0,2021-01-01,DE
03:00 - 03:15,40235.0,40503.0,2021-01-01,DE
03:15 - 03:30,40297.0,40422.0,2021-01-01,DE
03:30 - 03:45,40093.0,40345.0,2021-01-01,DE
03:45 - 04:00,39967.0,40188.0,2021-01-01,DE
04:00 - 04:15,40011.0,40503.0,2021-01-01,DE
04:15 - 04:30,39861.0,40371.0,2021-01-01,DE
04:30 - 04:45,39765.0,40318.0,2021-01-01,DE
04:45 - 05:00,39750.0,40080.0,2021-01-01,DE
05:00 - 05:15,39671.0,39909.0,2021-01-01,DE
05:15 - 05:30,39326.0,39540.0,2021-01-01,DE
05:30 - 05:45,39110.0,39534.0,2021-01-01,DE
05:45 - 06:00,38660.0,39584.0,2021-01-01,DE
06:00 - 06:15,38218.0,39136.0,2021-01-01,DE
06:15 - 06:30,38021.0,39015.0,2021-01-01,DE
06:30 - 06:45,38114.0,38963.0,2021-01-01,DE
06:45 - 07:00,37732.0,39054.0,2021-01-01,DE
07:00 - 07:15,38052.0,39237.0,2021-01-01,DE
07:15 - 07:30,38127.0,39410.0,2021-01-01,DE
07:30 - 07:45,38499.0,39638.0,2021-01-01,DE
07:45 - 08:00,38781.0,39804.0,2021-01-01,DE
08:00 - 08:15,39410.0,40153.0,2021-01-01,DE
08:15 - 08:30,39554.0,40338.0,2021-01-01,DE
08:30 - 08:45,40313.0,40716.0,2021-01-01,DE
08:45 - 09:00,40435.0,41307.0,2021-01-01,DE
09:00 - 09:15,41397.0,42213.0,2021-01-01,DE
09:15 - 09:30,41953.0,42818.0,2021-01-01,DE
09:30 - 09:45,42469.0,43151.0,2021-01-01,DE
09:45 - 10:00,42718.0,43741.0,2021-01-01,DE
10:00 - 10:15,43247.0,44645.0,2021-01-01,DE
10:15 - 10:30,44364.0,45361.0,2021-01-01,DE
10:30 - 10:45,44928.0,45836.0,2021-01-01,DE
10:45 - 11:00,45292.0,46419.0,2021-01-01,DE
11:00 - 11:15,46179.0,47068.0,2021-01-01,DE
11:15 - 11:30,46771.0,47900.0,2021-01-01,DE
11:30 - 11:45,47202.0,48491.0,2021-01-01,DE
11:45 - 12:00,47281.0,48689.0,2021-01-01,DE
12:00 - 12:15,47071.0,49284.0,2021-01-01,DE
12:15 - 12:30,46765.0,49403.0,2021-01-01,DE
12:30 - 12:45,46525.0,49302.0,2021-01-01,DE
12:45 - 13:00,46186.0,48913.0,2021-01-01,DE
13:00 - 13:15,45834.0,48738.0,2021-01-01,DE
13:15 - 13:30,45574.0,48479.0,2021-01-01,DE
13:30 - 13:45,45422.0,48288.0,2021-01-01,DE
13:45 - 14:00,44822.0,47976.0,2021-01-01,DE
14:00 - 14:15,44624.0,47635.0,2021-01-01,DE
14:15 - 14:30,44777.0,47451.0,2021-01-01,DE
14:30 - 14:45,44264.0,47367.0,2021-01-01,DE
14:45 - 15:00,44231.0,47214.0,2021-01-01,DE
15:00 - 15:15,44489.0,47531.0,2021-01-01,DE
15:15 - 15:30,44629.0,47497.0,2021-01-01,DE
15:30 - 15:45,44567.0,47818.0,2021-01-01,DE
15:45 - 16:00,44446.0,47976.0,2021-01-01,DE
16:00 - 16:15,45028.0,48209.0,2021-01-01,DE
16:15 - 16:30,45650.0,48885.0,2021-01-01,DE
16:30 - 16:45,46573.0,50020.0,2021-01-01,DE
16:45 - 17:00,47484.0,51052.0,2021-01-01,DE
17:00 - 17:15,49243.0,52289.0,2021-01-01,DE
17:15 - 17:30,49620.0,52978.0,2021-01-01,DE
17:30 - 17:45,50073.0,53449.0,2021-01-01,DE
17:45 - 18:00,50165.0,53699.0,2021-01-01,DE
18:00 - 18:15,51093.0,53909.0,2021-01-01,DE
18:15 - 18:30,50862.0,53904.0,2021-01-01,DE
18:30 - 18:45,50717.0,53969.0,2021-01-01,DE
18:45 - 19:00,50129.0,53504.0,2021-01-01,DE
19:00 - 19:15,50466.0,53334.0,2021-01-01,DE
19:15 - 19:30,49602.0,52889.0,2021-01-01,DE
19:30 - 19:45,49341.0,52615.0,2021-01-01,DE
19:45 - 20:00,49300.0,52274.0,2021-01-01,DE
20:00 - 20:15,48864.0,51462.0,2021-01-01,DE
20:15 - 20:30,48593.0,50777.0,2021-01-01,DE
20:30 - 20:45,48139.0,50109.0,2021-01-01,DE
20:45 - 21:00,47903.0,49629.0,2021-01-01,DE
21:00 - 21:15,47634.0,49265.0,2021-01-01,DE
21:15 - 21:30,47620.0,48833.0,2021-01-01,DE
21:30 - 21:45,47137.0,48506.0,2021-01-01,DE
21:45 - 22:00,47154.0,48341.0,2021-01-01,DE
22:00 - 22:15,47695.0,48934.0,2021-01-01,DE
