Time,Day-ahead Total Load Forecast,Actual Total Load,Date,Country
00:00 - 00:15,46735.0,44774.0,2022-06-01,DE
00:15 - 00:30,46279.0,44328.0,2022-06-01,DE
00:30 - 00:45,45943.0,43875.0,2022-06-01,DE
00:45 - 01:00,45606.0,43456.0,2022-06-01,DE
01:00 - 01:15,45312.0,43269.0,2022-06-01,DE
01:15 - 01:30,44930.0,42965.0,2022-06-01,DE
01:30 - 01:45,44689.0,42715.0,2022-06-01,DE
01:45 - 02:00,44354.0,42581.0,2022-06-01,DE
02:00 - 02:15,43883.0,42088.0,2022-06-01,DE
02:15 - 02:30,43889.0,42127.0,2022-06-01,DE
02:30 - 02:45,43757.0,42404.0,2022-06-01,DE
02:45 - 03:00,43906.0,42370.0,2022-06-01,DE
03:00 - 03:15,43964.0,42488.0,2022-06-01,DE
03:15 - 03:30,43994.0,42587.0,2022-06-01,DE
03:30 - 03:45,44073.0,42890.0,2022-06-01,DE
03:45 - 04:00,44249.0,42909.0,2022-06-01,DE
04:00 - 04:15,44597.0,42999.0,2022-06-01,DE
04:15 - 04:30,44997.0,43208.0,2022-06-01,DE
04:30 - 04:45,45329.0,43813.0,2022-06-01,DE
04:45 - 05:00,45842.0,44425.0,2022-06-01,DE
05:00 - 05:15,46809.0,45479.0,2022-06-01,DE
05:15 - 05:30,46512.0,46084.0,2022-06-01,DE
05:30 - 05:45,46667.0,46825.0,2022-06-01,DE
05:45 - 06:00,48391.0,48112.0,2022-06-01,DE
06:00 - 06:15,50281.0,50883.0,2022-06-01,DE
06:15 - 06:30,52633.0,52648.0,2022-06-01,DE
06:30 - 06:45,54177.0,53927.0,2022-06-01,DE
06:45 - 07:00,55550.0,55075.0,2022-06-01,DE
07:00 - 07:15,57462.0,56581.0,2022-06-01,DE
07:15 - 07:30,58807.0,57784.0,2022-06-01,DE
07:30 - 07:45,59634.0,58847.0,2022-06-01,DE
07:45 - 08:00,60431.0,59374.0,2022-06-01,DE
08:00 - 08:15,61162.0,60334.0,2022-06-01,DE
08:15 - 08:30,61832.0,61133.0,2022-06-01,DE
08:30 - 08:45,62311.0,61424.0,2022-06-01,DE
08:45 - 09:00,62612.0,61577.0,2022-06-01,DE
09:00 - 09:15,62691.0,61230.0,2022-06-01,DE
09:15 - 09:30,63092.0,61512.0,2022-06-01,DE
09:30 - 09:45,63616.0,61822.0,2022-06-01,DE
