MTU,Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),date,country
MTU,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore,,
MTU,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,,
MTU,[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],,
MTU,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,
04:15 - 04:30,4365.0,9701.0,n/e,3851.0,9034.0,283.0,n/e,n/e,24.0,45.0,4196.0,1197.0,27.0,n/e,4100.0,370.0,174.0,0.0,678.0,4998.0,28724.0,2022-01-27,DE
04:30 - 04:45,4366.0,9706.0,n/e,3861.0,9111.0,283.0,n/e,n/e,24.0,276.0,4003.0,1199.0,55.0,n/e,4101.0,370.0,174.0,0.0,682.0,4993.0,28847.0,2022-01-27,DE
04:45 - 05:00,4374.0,9652.0,n/e,3895.0,9186.0,284.0,n/e,n/e,24.0,117.0,4131.0,1198.0,17.0,n/e,4100.0,379.0,178.0,0.0,677.0,4996.0,29158.0,2022-01-27,DE
05:00 - 05:15,4397.0,9573.0,n/e,4320.0,9317.0,283.0,n/e,n/e,24.0,48.0,2886.0,1190.0,10.0,n/e,4102.0,390.0,183.0,0.0,721.0,4993.0,29216.0,2022-01-27,DE
05:15 - 05:30,4408.0,9530.0,n/e,4430.0,9355.0,283.0,n/e,n/e,23.0,237.0,2869.0,1184.0,10.0,n/e,4101.0,390.0,183.0,0.0,721.0,4996.0,29435.0,2022-01-27,DE
05:30 - 05:45,4423.0,9582.0,n/e,4508.0,9468.0,283.0,n/e,n/e,23.0,289.0,2709.0,1184.0,73.0,n/e,4102.0,390.0,183.0,0.0,718.0,4999.0,29709.0,2022-01-27,DE
05:45 - 06:00,4420.0,9544.0,n/e,4625.0,9426.0,283.0,n/e,n/e,23.0,659.0,1691.0,1179.0,13.0,n/e,4101.0,390.0,183.0,0.0,714.0,5005.0,30106.0,2022-01-27,DE
06:00 - 06:15,4453.0,9286.0,n/e,4724.0,9217.0,284.0,n/e,n/e,23.0,1655.0,2487.0,1173.0,19.0,n/e,4085.0,390.0,183.0,0.0,710.0,5008.0,30775.0,2022-01-27,DE
06:15 - 06:30,4476.0,9308.0,n/e,5110.0,9334.0,285.0,n/e,n/e,22.0,1689.0,1236.0,1167.0,24.0,n/e,4100.0,390.0,183.0,0.0,713.0,5003.0,30564.0,2022-01-27,DE
06:30 - 06:45,4508.0,8998.0,n/e,5354.0,9361.0,285.0,n/e,n/e,22.0,2518.0,230.0,1163.0,162.0,n/e,4101.0,390.0,183.0,0.0,708.0,5002.0,30714.0,2022-01-27,DE
06:45 - 07:00,4539.0,9247.0,n/e,5621.0,9251.0,285.0,n/e,n/e,22.0,3531.0,93.0,1165.0,139.0,n/e,4100.0,390.0,183.0,0.0,704.0,4912.0,30423.0,2022-01-27,DE
07:00 - 07:15,4610.0,9757.0,n/e,5936.0,9385.0,285.0,n/e,n/e,22.0,3204.0,3.0,1166.0,111.0,n/e,4083.0,390.0,183.0,0.0,720.0,4707.0,30758.0,2022-01-27,DE
07:15 - 07:30,4647.0,10166.0,n/e,6146.0,9397.0,285.0,n/e,n/e,22.0,3502.0,1.0,1167.0,124.0,n/e,4098.0,390.0,183.0,0.0,721.0,4703.0,30850.0,2022-01-27,DE
07:30 - 07:45,4669.0,10279.0,n/e,6336.0,9424.0,285.0,n/e,n/e,22.0,4490.0,0.0,1160.0,272.0,n/e,4096.0,390.0,183.0,1.0,723.0,4713.0,30819.0,2022-01-27,DE
07:45 - 08:00,4700.0,10461.0,n/e,6387.0,9480.0,299.0,n/e,n/e,21.0,4936.0,0.0,1153.0,394.0,n/e,4097.0,390.0,183.0,9.0,724.0,4670.0,30359.0,2022-01-27,DE
08:00 - 08:15,4735.0,10917.0,n/e,6575.0,9550.0,408.0,n/e,n/e,21.0,3709.0,0.0,1163.0,188.0,n/e,4090.0,390.0,183.0,103.0,724.0,4671.0,30342.0,2022-01-27,DE
08:15 - 08:30,4753.0,11014.0,n/e,6665.0,9662.0,464.0,n/e,n/e,21.0,3245.0,3.0,1165.0,87.0,n/e,4096.0,390.0,183.0,348.0,733.0,4677.0,30456.0,2022-01-27,DE
08:30 - 08:45,4750.0,11068.0,n/e,6851.0,9804.0,463.0,n/e,n/e,21.0,2912.0,12.0,1161.0,82.0,n/e,4096.0,390.0,183.0,690.0,729.0,4662.0,30544.0,2022-01-27,DE
08:45 - 09:00,4746.0,10989.0,n/e,7099.0,9899.0,462.0,n/e,n/e,21.0,2233.0,16.0,1161.0,54.0,n/e,4095.0,390.0,183.0,1103.0,727.0,4657.0,30485.0,2022-01-27,DE
09:00 - 09:15,4736.0,10953.0,n/e,7227.0,9975.0,403.0,n/e,n/e,21.0,2145.0,39.0,1157.0,51.0,n/e,4093.0,390.0,183.0,1549.0,346.0,4776.0,30554.0,2022-01-27,DE
09:15 - 09:30,4733.0,10866.0,n/e,7138.0,10024.0,287.0,n/e,n/e,21.0,1685.0,130.0,1154.0,128.0,n/e,4094.0,390.0,183.0,2032.0,344.0,4783.0,30380.0,2022-01-27,DE
09:30 - 09:45,4741.0,10819.0,n/e,7138.0,10064.0,287.0,n/e,n/e,21.0,1326.0,134.0,1155.0,68.0,n/e,4094.0,390.0,183.0,2535.0,346.0,4789.0,30808.0,2022-01-27,DE
09:45 - 10:00,4729.0,10758.0,n/e,7158.0,10068.0,287.0,n/e,n/e,21.0,889.0,303.0,1140.0,81.0,n/e,4094.0,390.0,183.0,3106.0,346.0,4752.0,30861.0,2022-01-27,DE
10:00 - 10:15,4718.0,10780.0,n/e,7055.0,10110.0,287.0,n/e,n/e,20.0,1433.0,323.0,1148.0,177.0,n/e,4093.0,390.0,183.0,3735.0,345.0,4624.0,31106.0,2022-01-27,DE
10:15 - 10:30,4685.0,10720.0,n/e,7045.0,10126.0,287.0,n/e,n/e,20.0,1355.0,305.0,1152.0,147.0,n/e,4093.0,390.0,183.0,4275.0,345.0,4625.0,31043.0,2022-01-27,DE
10:30 - 10:45,4670.0,10735.0,n/e,6955.0,10178.0,287.0,n/e,n/e,21.0,854.0,150.0,1151.0,163.0,n/e,4091.0,390.0,183.0,4740.0,727.0,4630.0,30745.0,2022-01-27,DE
10:45 - 11:00,4671.0,10764.0,n/e,6822.0,10192.0,287.0,n/e,n/e,21.0,851.0,467.0,1153.0,109.0,n/e,4088.0,390.0,183.0,5104.0,345.0,4625.0,31273.0,2022-01-27,DE
11:00 - 11:15,4647.0,10736.0,n/e,6953.0,10185.0,287.0,n/e,n/e,21.0,758.0,184.0,1152.0,247.0,n/e,4088.0,390.0,183.0,5510.0,345.0,4640.0,31500.0,2022-01-27,DE
11:15 - 11:30,4632.0,10713.0,n/e,6949.0,10176.0,287.0,n/e,n/e,21.0,662.0,211.0,1150.0,340.0,n/e,4089.0,390.0,183.0,5846.0,345.0,4638.0,31520.0,2022-01-27,DE
11:30 - 11:45,4648.0,10739.0,n/e,6983.0,10171.0,287.0,n/e,n/e,21.0,848.0,158.0,1150.0,284.0,n/e,4091.0,390.0,183.0,6110.0,345.0,4641.0,31376.0,2022-01-27,DE
11:45 - 12:00,4651.0,10737.0,n/e,6975.0,10177.0,287.0,n/e,n/e,21.0,711.0,253.0,1147.0,179.0,n/e,4089.0,390.0,183.0,6426.0,345.0,4605.0,31450.0,2022-01-27,DE
12:00 - 12:15,4609.0,10781.0,n/e,7051.0,10190.0,287.0,n/e,n/e,21.0,713.0,629.0,1144.0,251.0,n/e,4092.0,390.0,183.0,6591.0,347.0,4579.0,31426.0,2022-01-27,DE
12:15 - 12:30,4579.0,10767.0,n/e,7058.0,10183.0,287.0,n/e,n/e,21.0,601.0,622.0,1142.0,206.0,n/e,4091.0,390.0,183.0,6727.0,347.0,4583.0,31564.0,2022-01-27,DE
12:30 - 12:45,4598.0,10797.0,n/e,7035.0,10203.0,287.0,n/e,n/e,21.0,658.0,644.0,1136.0,263.0,n/e,4092.0,390.0,183.0,6811.0,347.0,4585.0,31581.0,2022-01-27,DE
12:45 - 13:00,4579.0,10762.0,n/e,7033.0,10189.0,287.0,n/e,n/e,20.0,446.0,582.0,1133.0,252.0,n/e,4093.0,390.0,183.0,6788.0,347.0,4577.0,31376.0,2022-01-27,DE
13:00 - 13:15,4569.0,10734.0,n/e,6995.0,10209.0,359.0,n/e,n/e,20.0,926.0,642.0,1130.0,387.0,n/e,4094.0,390.0,183.0,6676.0,350.0,4566.0,31221.0,2022-01-27,DE
13:15 - 13:30,4583.0,10591.0,n/e,7046.0,10243.0,380.0,n/e,n/e,20.0,1056.0,738.0,1127.0,376.0,n/e,4093.0,390.0,183.0,6450.0,350.0,4568.0,30966.0,2022-01-27,DE
13:30 - 13:45,4602.0,10617.0,n/e,7075.0,10230.0,311.0,n/e,n/e,20.0,992.0,750.0,1126.0,299.0,n/e,4095.0,390.0,183.0,6230.0,350.0,4552.0,30983.0,2022-01-27,DE
13:45 - 14:00,4613.0,10585.0,n/e,7070.0,10231.0,287.0,n/e,n/e,20.0,752.0,759.0,1122.0,198.0,n/e,4093.0,390.0,183.0,5948.0,350.0,4552.0,30917.0,2022-01-27,DE
14:00 - 14:15,4607.0,10642.0,n/e,6923.0,10255.0,287.0,n/e,n/e,21.0,864.0,415.0,1121.0,307.0,n/e,4094.0,390.0,183.0,5641.0,350.0,4588.0,30722.0,2022-01-27,DE
14:15 - 14:30,4612.0,10611.0,n/e,6937.0,10210.0,287.0,n/e,n/e,21.0,857.0,317.0,1129.0,390.0,n/e,4093.0,390.0,183.0,5198.0,350.0,4675.0,30937.0,2022-01-27,DE
14:30 - 14:45,4605.0,10616.0,n/e,6906.0,10228.0,287.0,n/e,n/e,21.0,1021.0,249.0,1138.0,347.0,n/e,4087.0,390.0,183.0,4673.0,350.0,4673.0,31052.0,2022-01-27,DE
14:45 - 15:00,4605.0,10642.0,n/e,6890.0,10246.0,287.0,n/e,n/e,21.0,1012.0,278.0,1138.0,387.0,n/e,4083.0,390.0,183.0,4112.0,350.0,4829.0,31255.0,2022-01-27,DE
15:00 - 15:15,4598.0,10639.0,n/e,6941.0,10173.0,287.0,n/e,n/e,21.0,1075.0,348.0,1141.0,56.0,n/e,4081.0,390.0,183.0,3494.0,351.0,5290.0,30745.0,2022-01-27,DE
15:15 - 15:30,4615.0,10621.0,n/e,6882.0,10191.0,287.0,n/e,n/e,21.0,976.0,287.0,1141.0,126.0,n/e,4086.0,390.0,183.0,2935.0,351.0,5306.0,30762.0,2022-01-27,DE
15:30 - 15:45,4624.0,10615.0,n/e,6753.0,10184.0,287.0,n/e,n/e,21.0,1009.0,227.0,1137.0,201.0,n/e,4086.0,387.0,182.0,2349.0,351.0,5310.0,31017.0,2022-01-27,DE
15:45 - 16:00,4639.0,10570.0,n/e,6689.0,10187.0,287.0,n/e,n/e,22.0,1215.0,226.0,1138.0,234.0,n/e,4085.0,386.0,182.0,1755.0,349.0,5312.0,31101.0,2022-01-27,DE
16:00 - 16:15,4675.0,10399.0,n/e,6605.0,10232.0,287.0,n/e,n/e,22.0,1296.0,437.0,1136.0,75.0,n/e,4080.0,386.0,182.0,1196.0,351.0,5304.0,31433.0,2022-01-27,DE
16:15 - 16:30,4717.0,10172.0,n/e,6663.0,10201.0,288.0,n/e,n/e,22.0,1508.0,231.0,1128.0,69.0,n/e,4083.0,387.0,182.0,712.0,351.0,5298.0,31778.0,2022-01-27,DE
16:30 - 16:45,4736.0,10159.0,n/e,6665.0,10151.0,287.0,n/e,n/e,22.0,1558.0,121.0,1118.0,122.0,n/e,4082.0,387.0,182.0,338.0,351.0,5306.0,32223.0,2022-01-27,DE
16:45 - 17:00,4760.0,10168.0,n/e,6672.0,10155.0,287.0,n/e,n/e,22.0,1618.0,107.0,1119.0,183.0,n/e,4084.0,386.0,182.0,110.0,351.0,5316.0,32545.0,2022-01-27,DE
17:00 - 17:15,4792.0,10187.0,n/e,6659.0,10135.0,287.0,n/e,n/e,22.0,1258.0,282.0,1093.0,101.0,n/e,4076.0,386.0,182.0,13.0,351.0,5323.0,32791.0,2022-01-27,DE
17:15 - 17:30,4807.0,10354.0,n/e,6632.0,10032.0,287.0,n/e,n/e,22.0,1499.0,116.0,1083.0,262.0,n/e,4083.0,387.0,182.0,1.0,712.0,5306.0,33042.0,2022-01-27,DE
17:30 - 17:45,4816.0,10326.0,n/e,6682.0,10012.0,408.0,n/e,n/e,22.0,2125.0,154.0,1078.0,98.0,n/e,4084.0,387.0,182.0,0.0,720.0,5286.0,33125.0,2022-01-27,DE
17:45 - 18:00,4827.0,10283.0,n/e,6639.0,9982.0,446.0,n/e,n/e,22.0,1997.0,119.0,1074.0,101.0,n/e,4082.0,387.0,182.0,0.0,718.0,5220.0,33952.0,2022-01-27,DE
18:00 - 18:15,4838.0,10118.0,n/e,6486.0,9916.0,435.0,n/e,n/e,22.0,1258.0,268.0,1077.0,73.0,n/e,4079.0,387.0,182.0,0.0,716.0,5202.0,34367.0,2022-01-27,DE
18:15 - 18:30,4839.0,10123.0,n/e,6468.0,9893.0,307.0,n/e,n/e,21.0,1391.0,673.0,1076.0,61.0,n/e,4083.0,387.0,182.0,0.0,724.0,5205.0,33141.0,2022-01-27,DE
18:30 - 18:45,4829.0,10200.0,n/e,6462.0,9849.0,287.0,n/e,n/e,21.0,1219.0,783.0,1082.0,58.0,n/e,4083.0,387.0,182.0,0.0,725.0,5187.0,32574.0,2022-01-27,DE
18:45 - 19:00,4818.0,10257.0,n/e,6453.0,9675.0,287.0,n/e,n/e,21.0,1063.0,1036.0,1083.0,64.0,n/e,4083.0,381.0,179.0,0.0,724.0,5152.0,32620.0,2022-01-27,DE
19:00 - 19:15,4792.0,10254.0,n/e,6204.0,9580.0,287.0,n/e,n/e,22.0,729.0,468.0,1090.0,84.0,n/e,4082.0,357.0,168.0,0.0,723.0,5047.0,33171.0,2022-01-27,DE
19:15 - 19:30,4775.0,10237.0,n/e,5883.0,9256.0,287.0,n/e,n/e,21.0,914.0,307.0,1092.0,128.0,n/e,4079.0,353.0,166.0,0.0,714.0,4911.0,33802.0,2022-01-27,DE
19:30 - 19:45,4757.0,10222.0,n/e,5765.0,9062.0,287.0,n/e,n/e,21.0,608.0,762.0,1095.0,105.0,n/e,4079.0,353.0,166.0,0.0,720.0,5052.0,34420.0,2022-01-27,DE
19:45 - 20:00,4728.0,10232.0,n/e,5469.0,8759.0,287.0,n/e,n/e,21.0,428.0,946.0,1095.0,53.0,n/e,4077.0,353.0,166.0,0.0,725.0,5090.0,34626.0,2022-01-27,DE
20:00 - 20:15,4667.0,10080.0,n/e,4805.0,8252.0,287.0,n/e,n/e,21.0,609.0,777.0,1094.0,51.0,n/e,4080.0,333.0,157.0,0.0,716.0,5214.0,34855.0,2022-01-27,DE
20:15 - 20:30,4645.0,9899.0,n/e,4631.0,8020.0,287.0,n/e,n/e,21.0,246.0,1115.0,1086.0,35.0,n/e,4081.0,316.0,149.0,0.0,713.0,5228.0,34688.0,2022-01-27,DE
20:30 - 20:45,4641.0,9876.0,n/e,4579.0,7734.0,287.0,n/e,n/e,21.0,328.0,1907.0,1085.0,43.0,n/e,4080.0,315.0,149.0,0.0,710.0,5256.0,35126.0,2022-01-27,DE
20:45 - 21:00,4634.0,9884.0,n/e,4608.0,7572.0,287.0,n/e,n/e,22.0,231.0,2353.0,1082.0,41.0,n/e,4079.0,316.0,149.0,0.0,712.0,5218.0,35425.0,2022-01-27,DE
21:00 - 21:15,4593.0,9903.0,n/e,4774.0,7586.0,287.0,n/e,n/e,22.0,470.0,1293.0,1088.0,68.0,n/e,4087.0,313.0,148.0,0.0,665.0,5264.0,35337.0,2022-01-27,DE
21:15 - 21:30,4575.0,9748.0,n/e,4789.0,7311.0,287.0,n/e,n/e,22.0,371.0,1618.0,1084.0,47.0,n/e,4084.0,310.0,146.0,0.0,658.0,5244.0,35480.0,2022-01-27,DE
21:30 - 21:45,4574.0,9725.0,n/e,4803.0,7109.0,287.0,n/e,n/e,22.0,266.0,2114.0,1091.0,49.0,n/e,4079.0,310.0,146.0,0.0,659.0,5239.0,36570.0,2022-01-27,DE
21:45 - 22:00,4563.0,9593.0,n/e,4800.0,7089.0,287.0,n/e,n/e,22.0,82.0,2820.0,1086.0,43.0,n/e,4079.0,310.0,146.0,0.0,663.0,5244.0,36294.0,2022-01-27,DE
22:00 - 22:15,4514.0,9511.0,n/e,4852.0,6980.0,287.0,n/e,n/e,22.0,275.0,2511.0,1082.0,54.0,n/e,4092.0,310.0,146.0,0.0,670.0,5243.0,35238.0,2022-01-27,DE
22:15 - 22:30,4510.0,9386.0,n/e,4854.0,6710.0,287.0,n/e,n/e,23.0,51.0,2936.0,1083.0,48.0,n/e,4087.0,310.0,146.0,0.0,665.0,5257.0,35260.0,2022-01-27,DE
22:30 - 22:45,4512.0,9368.0,n/e,4778.0,6503.0,287.0,n/e,n/e,23.0,143.0,3962.0,1084.0,63.0,n/e,4086.0,310.0,146.0,0.0,666.0,5296.0,34688.0,2022-01-27,DE
22:45 - 23:00,4515.0,9366.0,n/e,4762.0,6437.0,287.0,n/e,n/e,23.0,31.0,4505.0,1084.0,38.0,n/e,4081.0,310.0,147.0,0.0,665.0,5290.0,34163.0,2022-01-27,DE
23:00 - 23:15,4506.0,9349.0,n/e,4671.0,6090.0,287.0,n/e,n/e,23.0,271.0,4260.0,1083.0,102.0,n/e,4087.0,310.0,147.0,0.0,675.0,5300.0,33991.0,2022-01-27,DE
23:15 - 23:30,4507.0,9283.0,n/e,4629.0,5927.0,287.0,n/e,n/e,23.0,198.0,4740.0,1080.0,34.0,n/e,4086.0,310.0,147.0,0.0,671.0,5285.0,33830.0,2022-01-27,DE
23:30 - 23:45,4501.0,9172.0,n/e,4625.0,5758.0,287.0,n/e,n/e,23.0,62.0,5035.0,1080.0,31.0,n/e,4080.0,310.0,147.0,0.0,663.0,5277.0,33837.0,2022-01-27,DE
23:45 - 00:00,4497.0,9015.0,n/e,4618.0,5771.0,287.0,n/e,n/e,23.0,43.0,5794.0,1077.0,21.0,n/e,4071.0,310.0,147.0,0.0,665.0,5203.0,34308.0,2022-01-27,DE
00:00 - 00:15,4458.0,8807.0,n/e,4177.0,5281.0,287.0,n/e,n/e,23.0,46.0,5446.0,1074.0,26.0,n/e,4079.0,310.0,147.0,0.0,665.0,5114.0,34128.0,2022-01-28,DE
00:15 - 00:30,4448.0,8519.0,n/e,3978.0,5058.0,287.0,n/e,n/e,23.0,59.0,5344.0,1066.0,37.0,n/e,4076.0,305.0,144.0,0.0,665.0,5115.0,34107.0,2022-01-28,DE
00:30 - 00:45,4440.0,8225.0,n/e,3889.0,4927.0,287.0,n/e,n/e,23.0,54.0,5774.0,1066.0,54.0,n/e,4077.0,303.0,143.0,0.0,666.0,5008.0,33905.0,2022-01-28,DE
00:45 - 01:00,4439.0,7941.0,n/e,3705.0,4958.0,287.0,n/e,n/e,23.0,18.0,5857.0,1067.0,21.0,n/e,4078.0,303.0,143.0,0.0,670.0,4969.0,34034.0,2022-01-28,DE
01:00 - 01:15,4440.0,7895.0,n/e,3873.0,5049.0,287.0,n/e,n/e,23.0,28.0,5314.0,1074.0,34.0,n/e,4082.0,303.0,143.0,0.0,670.0,4911.0,34395.0,2022-01-28,DE
01:15 - 01:30,4441.0,7781.0,n/e,3850.0,5026.0,287.0,n/e,n/e,23.0,13.0,5600.0,1072.0,14.0,n/e,4082.0,303.0,143.0,0.0,671.0,4932.0,34177.0,2022-01-28,DE
01:30 - 01:45,4424.0,7629.0,n/e,3877.0,4978.0,287.0,n/e,n/e,23.0,16.0,5316.0,1068.0,16.0,n/e,4080.0,303.0,143.0,0.0,669.0,4925.0,34107.0,2022-01-28,DE
01:45 - 02:00,4426.0,7498.0,n/e,3872.0,4971.0,287.0,n/e,n/e,23.0,138.0,5895.0,1060.0,16.0,n/e,4072.0,303.0,143.0,0.0,673.0,4902.0,34178.0,2022-01-28,DE
02:00 - 02:15,4435.0,7518.0,n/e,3860.0,4929.0,287.0,n/e,n/e,23.0,117.0,6042.0,1054.0,38.0,n/e,4082.0,303.0,143.0,0.0,669.0,4906.0,34134.0,2022-01-28,DE
02:15 - 02:30,4430.0,7504.0,n/e,3867.0,4932.0,287.0,n/e,n/e,23.0,61.0,6043.0,1048.0,15.0,n/e,4078.0,303.0,143.0,0.0,668.0,4908.0,34023.0,2022-01-28,DE
02:30 - 02:45,4433.0,7512.0,n/e,3843.0,4923.0,287.0,n/e,n/e,23.0,45.0,5893.0,1047.0,47.0,n/e,4079.0,303.0,143.0,0.0,665.0,4911.0,33779.0,2022-01-28,DE
02:45 - 03:00,4432.0,7570.0,n/e,3849.0,4952.0,287.0,n/e,n/e,23.0,26.0,5954.0,1046.0,25.0,n/e,4074.0,303.0,143.0,0.0,662.0,4890.0,33665.0,2022-01-28,DE
03:00 - 03:15,4431.0,7690.0,n/e,3864.0,4941.0,287.0,n/e,n/e,23.0,28.0,5639.0,1044.0,26.0,n/e,4080.0,303.0,143.0,0.0,663.0,4919.0,33400.0,2022-01-28,DE
03:15 - 03:30,4434.0,7702.0,n/e,3860.0,4924.0,287.0,n/e,n/e,23.0,22.0,5700.0,1040.0,17.0,n/e,4076.0,302.0,143.0,0.0,660.0,4937.0,33476.0,2022-01-28,DE
03:30 - 03:45,4439.0,7624.0,n/e,3878.0,4925.0,287.0,n/e,n/e,23.0,68.0,5847.0,1041.0,18.0,n/e,4058.0,303.0,143.0,0.0,670.0,5084.0,33311.0,2022-01-28,DE
03:45 - 04:00,4447.0,7803.0,n/e,3867.0,4958.0,287.0,n/e,n/e,23.0,48.0,5621.0,1040.0,21.0,n/e,4059.0,303.0,143.0,0.0,674.0,5117.0,33109.0,2022-01-28,DE
04:00 - 04:15,4453.0,8169.0,n/e,3906.0,5204.0,287.0,n/e,n/e,23.0,18.0,5406.0,1045.0,40.0,n/e,4065.0,302.0,143.0,0.0,670.0,4968.0,33078.0,2022-01-28,DE
04:15 - 04:30,4461.0,8326.0,n/e,3959.0,5283.0,287.0,n/e,n/e,23.0,101.0,5343.0,1047.0,43.0,n/e,4060.0,302.0,143.0,0.0,671.0,4964.0,33284.0,2022-01-28,DE
04:30 - 04:45,4462.0,8570.0,n/e,3948.0,5311.0,287.0,n/e,n/e,23.0,150.0,4722.0,1043.0,53.0,n/e,4065.0,303.0,143.0,0.0,662.0,4958.0,32934.0,2022-01-28,DE
04:45 - 05:00,4466.0,9057.0,n/e,3994.0,5413.0,287.0,n/e,n/e,23.0,151.0,4830.0,1043.0,46.0,n/e,4063.0,302.0,143.0,0.0,663.0,5048.0,32667.0,2022-01-28,DE
05:00 - 05:15,4477.0,9569.0,n/e,4141.0,5473.0,287.0,n/e,n/e,22.0,130.0,4776.0,1044.0,37.0,n/e,4065.0,302.0,143.0,0.0,697.0,5151.0,32523.0,2022-01-28,DE
05:15 - 05:30,4483.0,9943.0,n/e,4167.0,5667.0,287.0,n/e,n/e,22.0,53.0,4181.0,1044.0,74.0,n/e,4077.0,302.0,143.0,0.0,698.0,5151.0,32245.0,2022-01-28,DE
05:30 - 05:45,4481.0,10301.0,n/e,4233.0,6001.0,287.0,n/e,n/e,22.0,65.0,3829.0,1041.0,28.0,n/e,4078.0,302.0,143.0,0.0,699.0,5168.0,31850.0,2022-01-28,DE
05:45 - 06:00,4496.0,10533.0,n/e,4261.0,6388.0,287.0,n/e,n/e,22.0,172.0,2630.0,1038.0,56.0,n/e,4075.0,302.0,143.0,0.0,695.0,5172.0,31776.0,2022-01-28,DE
06:00 - 06:15,4527.0,10715.0,n/e,4750.0,6752.0,288.0,n/e,n/e,22.0,71.0,2515.0,1035.0,70.0,n/e,4056.0,302.0,143.0,0.0,689.0,5318.0,32243.0,2022-01-28,DE
06:15 - 06:30,4565.0,10905.0,n/e,4859.0,7423.0,287.0,n/e,n/e,21.0,341.0,2027.0,1028.0,59.0,n/e,4076.0,302.0,143.0,0.0,686.0,5143.0,32089.0,2022-01-28,DE
06:30 - 06:45,4588.0,10992.0,n/e,4948.0,7903.0,287.0,n/e,n/e,21.0,1608.0,930.0,1027.0,144.0,n/e,4084.0,314.0,148.0,0.0,685.0,4661.0,31433.0,2022-01-28,DE
06:45 - 07:00,4594.0,11199.0,n/e,5190.0,8498.0,287.0,n/e,n/e,21.0,2109.0,897.0,1027.0,137.0,n/e,4081.0,346.0,163.0,0.0,687.0,4837.0,31023.0,2022-01-28,DE
07:00 - 07:15,4666.0,11450.0,n/e,6031.0,8883.0,287.0,n/e,n/e,21.0,1255.0,157.0,1031.0,69.0,n/e,4070.0,419.0,177.0,0.0,682.0,5002.0,30322.0,2022-01-28,DE
07:15 - 07:30,4698.0,11692.0,n/e,6464.0,9150.0,286.0,n/e,n/e,21.0,1752.0,31.0,1034.0,130.0,n/e,4078.0,433.0,184.0,0.0,684.0,5004.0,29985.0,2022-01-28,DE
07:30 - 07:45,4725.0,11755.0,n/e,6852.0,9320.0,339.0,n/e,n/e,21.0,2043.0,22.0,1034.0,154.0,n/e,4081.0,434.0,184.0,1.0,687.0,5003.0,29567.0,2022-01-28,DE
07:45 - 08:00,4728.0,11671.0,n/e,6922.0,9421.0,359.0,n/e,n/e,21.0,2454.0,22.0,1024.0,151.0,n/e,4082.0,434.0,184.0,10.0,694.0,5001.0,29232.0,2022-01-28,DE
08:00 - 08:15,4779.0,11544.0,n/e,7134.0,9381.0,426.0,n/e,n/e,21.0,1958.0,22.0,1031.0,51.0,n/e,4076.0,434.0,184.0,73.0,699.0,4983.0,28576.0,2022-01-28,DE
08:15 - 08:30,4797.0,11674.0,n/e,7204.0,9405.0,461.0,n/e,n/e,21.0,2047.0,23.0,1035.0,96.0,n/e,4079.0,434.0,184.0,336.0,702.0,5251.0,27863.0,2022-01-28,DE
08:30 - 08:45,4807.0,11750.0,n/e,7483.0,9437.0,509.0,n/e,n/e,21.0,1424.0,22.0,1040.0,85.0,n/e,4078.0,434.0,184.0,836.0,705.0,5607.0,27214.0,2022-01-28,DE
08:45 - 09:00,4815.0,11721.0,n/e,7952.0,9426.0,548.0,n/e,n/e,21.0,1049.0,22.0,1042.0,78.0,n/e,4079.0,435.0,185.0,1427.0,703.0,5537.0,26270.0,2022-01-28,DE
09:00 - 09:15,4797.0,11518.0,n/e,8202.0,9449.0,583.0,n/e,n/e,21.0,887.0,18.0,1038.0,45.0,n/e,4077.0,435.0,185.0,2045.0,709.0,5482.0,26244.0,2022-01-28,DE
09:15 - 09:30,4818.0,11465.0,n/e,8235.0,9457.0,591.0,n/e,n/e,21.0,792.0,22.0,1031.0,41.0,n/e,4078.0,435.0,185.0,2785.0,706.0,5205.0,25933.0,2022-01-28,DE
