MTU,Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),date,country
MTU,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore,,
MTU,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,,
MTU,[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],,
MTU,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,
05:30 - 05:45,4345.0,3866.0,n/e,2630.0,2019.0,279.0,n/e,n/e,27.0,81.0,3241.0,1411.0,94.0,n/e,3351.0,333.0,126.0,0.0,834.0,4322.0,19356.0,2022-01-01,DE
05:45 - 06:00,4347.0,3861.0,n/e,2653.0,2019.0,279.0,n/e,n/e,27.0,77.0,3262.0,1409.0,91.0,n/e,3348.0,333.0,126.0,0.0,837.0,4139.0,19327.0,2022-01-01,DE
06:00 - 06:15,4365.0,3859.0,n/e,2620.0,2013.0,279.0,n/e,n/e,27.0,77.0,3037.0,1405.0,31.0,n/e,3343.0,333.0,126.0,0.0,832.0,4106.0,19563.0,2022-01-01,DE
06:15 - 06:30,4382.0,3866.0,n/e,2641.0,2029.0,280.0,n/e,n/e,27.0,77.0,2603.0,1408.0,33.0,n/e,3342.0,333.0,126.0,0.0,826.0,4331.0,19280.0,2022-01-01,DE
06:30 - 06:45,4388.0,3879.0,n/e,2644.0,2041.0,281.0,n/e,n/e,27.0,76.0,2610.0,1409.0,37.0,n/e,3346.0,333.0,126.0,0.0,833.0,4635.0,19112.0,2022-01-01,DE
06:45 - 07:00,4390.0,3901.0,n/e,2645.0,2042.0,281.0,n/e,n/e,27.0,78.0,2556.0,1412.0,34.0,n/e,3342.0,333.0,126.0,0.0,834.0,4987.0,18747.0,2022-01-01,DE
07:00 - 07:15,4413.0,3868.0,n/e,2646.0,2310.0,281.0,n/e,n/e,27.0,145.0,2716.0,1411.0,28.0,n/e,3340.0,333.0,126.0,0.0,840.0,5035.0,18400.0,2022-01-01,DE
07:15 - 07:30,4424.0,3862.0,n/e,2646.0,2351.0,281.0,n/e,n/e,27.0,145.0,2211.0,1411.0,32.0,n/e,3334.0,333.0,126.0,0.0,840.0,4950.0,18011.0,2022-01-01,DE
07:30 - 07:45,4439.0,3874.0,n/e,2655.0,2416.0,281.0,n/e,n/e,27.0,145.0,1969.0,1411.0,34.0,n/e,3311.0,326.0,126.0,0.0,844.0,4826.0,17729.0,2022-01-01,DE
07:45 - 08:00,4468.0,3874.0,n/e,2636.0,2369.0,281.0,n/e,n/e,27.0,145.0,2084.0,1416.0,33.0,n/e,3332.0,326.0,126.0,2.0,846.0,4589.0,17684.0,2022-01-01,DE
08:00 - 08:15,4508.0,3962.0,n/e,2774.0,2469.0,281.0,n/e,n/e,27.0,146.0,2360.0,1414.0,53.0,n/e,3345.0,326.0,126.0,5.0,847.0,4512.0,17068.0,2022-01-01,DE
08:15 - 08:30,4528.0,3953.0,n/e,2770.0,2447.0,281.0,n/e,n/e,27.0,156.0,2000.0,1420.0,40.0,n/e,3343.0,326.0,126.0,62.0,847.0,4105.0,16765.0,2022-01-01,DE
08:30 - 08:45,4539.0,3978.0,n/e,2784.0,2414.0,281.0,n/e,n/e,27.0,146.0,2006.0,1430.0,30.0,n/e,3347.0,326.0,126.0,301.0,842.0,3921.0,16479.0,2022-01-01,DE
