MTU,Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),date,country
MTU,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore,,
MTU,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,,
MTU,[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],,
MTU,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,
00:00 - 01:00,279.0,2545.0,51.0,1212.0,6609.0,220.0,n/e,n/e,n/e,0.0,,161.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2697.0,2020-01-01,PL
01:00 - 02:00,253.0,2206.0,52.0,1212.0,6609.0,220.0,n/e,n/e,n/e,0.0,,161.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2503.0,2020-01-01,PL
02:00 - 03:00,248.0,2117.0,52.0,1191.0,6550.0,220.0,n/e,n/e,n/e,0.0,,161.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2500.0,2020-01-01,PL
03:00 - 04:00,250.0,1965.0,52.0,1176.0,6401.0,220.0,n/e,n/e,n/e,0.0,,160.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2396.0,2020-01-01,PL
04:00 - 05:00,255.0,1997.0,52.0,1184.0,6259.0,220.0,n/e,n/e,n/e,0.0,,159.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2305.0,2020-01-01,PL
05:00 - 06:00,262.0,2000.0,52.0,1184.0,6264.0,220.0,n/e,n/e,n/e,0.0,,159.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2337.0,2020-01-01,PL
06:00 - 07:00,263.0,2014.0,53.0,1193.0,6278.0,221.0,n/e,n/e,n/e,0.0,,159.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2335.0,2020-01-01,PL
07:00 - 08:00,262.0,2075.0,52.0,1213.0,6366.0,221.0,n/e,n/e,n/e,0.0,,160.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2168.0,2020-01-01,PL
08:00 - 09:00,263.0,2016.0,52.0,1183.0,6252.0,222.0,n/e,n/e,n/e,0.0,,166.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2209.0,2020-01-01,PL
09:00 - 10:00,262.0,2046.0,52.0,1206.0,6395.0,223.0,n/e,n/e,n/e,0.0,,167.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2337.0,2020-01-01,PL
10:00 - 11:00,263.0,2082.0,52.0,1232.0,6349.0,223.0,n/e,n/e,n/e,0.0,,171.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2489.0,2020-01-01,PL
11:00 - 12:00,263.0,2053.0,52.0,1224.0,6362.0,223.0,n/e,n/e,n/e,0.0,,172.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2721.0,2020-01-01,PL
12:00 - 13:00,262.0,2024.0,52.0,1209.0,6336.0,222.0,n/e,n/e,n/e,0.0,,161.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2867.0,2020-01-01,PL
13:00 - 14:00,260.0,2160.0,52.0,1242.0,6454.0,222.0,n/e,n/e,n/e,0.0,,156.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2947.0,2020-01-01,PL
14:00 - 15:00,263.0,2130.0,53.0,1243.0,6523.0,223.0,n/e,n/e,n/e,142.0,,160.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2898.0,2020-01-01,PL
