MTU,Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),date,country
15:00 - 16:00,261.0,2022.0,52.0,1237.0,6355.0,222.0,n/e,n/e,n/e,68.0,,162.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2856.0,2020-01-01,PL
16:00 - 17:00,261.0,2352.0,53.0,1281.0,6657.0,222.0,n/e,n/e,n/e,276.0,,178.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2923.0,2020-01-01,PL
17:00 - 18:00,261.0,3006.0,52.0,1316.0,6711.0,222.0,n/e,n/e,n/e,402.0,,190.0,50.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3108.0,2020-01-01,PL
18:00 - 19:00,261.0,3093.0,53.0,1235.0,6800.0,222.0,n/e,n/e,n/e,360.0,,193.0,58.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3161.0,2020-01-01,PL
19:00 - 20:00,261.0,3201.0,53.0,1265.0,6948.0,222.0,n/e,n/e,n/e,317.0,,195.0,58.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2990.0,2020-01-01,PL
20:00 - 21:00,261.0,3042.0,52.0,1262.0,6895.0,222.0,n/e,n/e,n/e,204.0,,180.0,7.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2789.0,2020-01-01,PL
21:00 - 22:00,261.0,2777.0,52.0,1277.0,6857.0,222.0,n/e,n/e,n/e,37.0,,158.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2641.0,2020-01-01,PL
22:00 - 23:00,262.0,2738.0,53.0,1313.0,6875.0,223.0,n/e,n/e,n/e,0.0,,151.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2503.0,2020-01-01,PL
23:00 - 00:00,261.0,2470.0,53.0,1270.0,6798.0,222.0,n/e,n/e,n/e,0.0,,150.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2428.0,2020-01-01,PL
00:00 - 01:00,254.0,2666.0,53.0,1342.0,6897.0,223.0,n/e,n/e,n/e,0.0,,145.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2339.0,2020-01-02,PL
01:00 - 02:00,249.0,2731.0,53.0,1361.0,6927.0,223.0,n/e,n/e,n/e,0.0,,135.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2351.0,2020-01-02,PL
02:00 - 03:00,250.0,2697.0,52.0,1315.0,6923.0,223.0,n/e,n/e,n/e,0.0,,125.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2399.0,2020-01-02,PL
03:00 - 04:00,251.0,2575.0,53.0,1319.0,6904.0,223.0,n/e,n/e,n/e,0.0,,124.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2378.0,2020-01-02,PL
04:00 - 05:00,251.0,2620.0,53.0,1263.0,6921.0,223.0,n/e,n/e,n/e,0.0,,124.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2504.0,2020-01-02,PL
05:00 - 06:00,251.0,2777.0,53.0,1193.0,7033.0,223.0,n/e,n/e,n/e,0.0,,123.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2771.0,2020-01-02,PL
06:00 - 07:00,271.0,3367.0,51.0,1289.0,7419.0,224.0,n/e,n/e,n/e,0.0,,122.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2905.0,2020-01-02,PL
07:00 - 08:00,303.0,4470.0,50.0,1500.0,7992.0,224.0,n/e,n/e,n/e,340.0,,122.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2956.0,2020-01-02,PL
08:00 - 09:00,305.0,4975.0,52.0,1561.0,8236.0,224.0,n/e,n/e,n/e,243.0,,146.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2932.0,2020-01-02,PL
09:00 - 10:00,304.0,5142.0,53.0,1548.0,8326.0,224.0,n/e,n/e,n/e,30.0,,161.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2904.0,2020-01-02,PL
10:00 - 11:00,304.0,5217.0,51.0,1427.0,8267.0,227.0,n/e,n/e,n/e,165.0,,162.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2666.0,2020-01-02,PL
11:00 - 12:00,306.0,5159.0,51.0,1414.0,8286.0,229.0,n/e,n/e,n/e,358.0,,162.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2405.0,2020-01-02,PL
12:00 - 13:00,304.0,5144.0,52.0,1424.0,8333.0,229.0,n/e,n/e,n/e,344.0,,163.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2231.0,2020-01-02,PL
13:00 - 14:00,303.0,5272.0,53.0,1458.0,8308.0,228.0,n/e,n/e,n/e,339.0,,164.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2115.0,2020-01-02,PL
14:00 - 15:00,304.0,5267.0,53.0,1425.0,8530.0,227.0,n/e,n/e,n/e,137.0,,168.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2225.0,2020-01-02,PL
15:00 - 16:00,302.0,5251.0,53.0,1448.0,8700.0,227.0,n/e,n/e,n/e,29.0,,169.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2344.0,2020-01-02,PL
16:00 - 17:00,299.0,5378.0,54.0,1566.0,9143.0,228.0,n/e,n/e,n/e,349.0,,190.0,50.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2620.0,2020-01-02,PL
17:00 - 18:00,298.0,5223.0,53.0,1512.0,8978.0,228.0,n/e,n/e,n/e,512.0,,202.0,58.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2878.0,2020-01-02,PL
18:00 - 19:00,299.0,5159.0,52.0,1457.0,8732.0,230.0,n/e,n/e,n/e,544.0,,201.0,58.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2958.0,2020-01-02,PL
19:00 - 20:00,300.0,4894.0,52.0,1483.0,8686.0,230.0,n/e,n/e,n/e,646.0,,182.0,58.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3083.0,2020-01-02,PL
20:00 - 21:00,300.0,4697.0,52.0,1441.0,8257.0,231.0,n/e,n/e,n/e,519.0,,171.0,7.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3098.0,2020-01-02,PL
21:00 - 22:00,300.0,4171.0,52.0,1384.0,8046.0,230.0,n/e,n/e,n/e,212.0,,161.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3074.0,2020-01-02,PL
22:00 - 23:00,290.0,3578.0,53.0,1301.0,7980.0,231.0,n/e,n/e,n/e,50.0,,156.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3162.0,2020-01-02,PL
23:00 - 00:00,264.0,3110.0,52.0,1254.0,7555.0,231.0,n/e,n/e,n/e,17.0,,156.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3328.0,2020-01-02,PL
00:00 - 01:00,253.0,3129.0,52.0,1228.0,7391.0,231.0,n/e,n/e,n/e,0.0,,156.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3258.0,2020-01-03,PL
01:00 - 02:00,251.0,3131.0,53.0,1211.0,7363.0,231.0,n/e,n/e,n/e,0.0,,158.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3139.0,2020-01-03,PL
02:00 - 03:00,251.0,3067.0,53.0,1187.0,7225.0,230.0,n/e,n/e,n/e,0.0,,158.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3181.0,2020-01-03,PL
03:00 - 04:00,252.0,3051.0,52.0,1182.0,7192.0,231.0,n/e,n/e,n/e,0.0,,155.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3224.0,2020-01-03,PL
04:00 - 05:00,251.0,3193.0,52.0,1214.0,7339.0,231.0,n/e,n/e,n/e,0.0,,155.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3141.0,2020-01-03,PL
05:00 - 06:00,273.0,3421.0,52.0,1257.0,7449.0,230.0,n/e,n/e,n/e,0.0,,155.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3065.0,2020-01-03,PL
06:00 - 07:00,294.0,4082.0,53.0,1284.0,7545.0,231.0,n/e,n/e,n/e,18.0,,153.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2932.0,2020-01-03,PL
07:00 - 08:00,302.0,4939.0,52.0,1404.0,7783.0,232.0,n/e,n/e,n/e,119.0,,152.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2797.0,2020-01-03,PL
08:00 - 09:00,302.0,5130.0,52.0,1423.0,7803.0,232.0,n/e,n/e,n/e,20.0,,161.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2935.0,2020-01-03,PL
09:00 - 10:00,302.0,5126.0,53.0,1537.0,7963.0,232.0,n/e,n/e,n/e,20.0,,174.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2983.0,2020-01-03,PL
10:00 - 11:00,302.0,5123.0,53.0,1513.0,7989.0,232.0,n/e,n/e,n/e,3.0,,176.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3031.0,2020-01-03,PL
11:00 - 12:00,302.0,5121.0,51.0,1541.0,7965.0,232.0,n/e,n/e,n/e,0.0,,178.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3195.0,2020-01-03,PL
12:00 - 13:00,304.0,4909.0,51.0,1470.0,7885.0,232.0,n/e,n/e,n/e,155.0,,179.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3267.0,2020-01-03,PL
13:00 - 14:00,304.0,5070.0,52.0,1376.0,7735.0,232.0,n/e,n/e,n/e,345.0,,182.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3308.0,2020-01-03,PL
14:00 - 15:00,305.0,5000.0,52.0,1332.0,7639.0,232.0,n/e,n/e,n/e,370.0,,181.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3361.0,2020-01-03,PL
15:00 - 16:00,303.0,4901.0,52.0,1353.0,7611.0,232.0,n/e,n/e,n/e,346.0,,160.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3545.0,2020-01-03,PL
16:00 - 17:00,303.0,4974.0,52.0,1464.0,7941.0,231.0,n/e,n/e,n/e,457.0,,186.0,50.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3719.0,2020-01-03,PL
17:00 - 18:00,303.0,4964.0,52.0,1407.0,7719.0,230.0,n/e,n/e,n/e,668.0,,205.0,58.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3869.0,2020-01-03,PL
18:00 - 19:00,305.0,4790.0,53.0,1336.0,7599.0,229.0,n/e,n/e,n/e,650.0,,215.0,58.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3922.0,2020-01-03,PL
19:00 - 20:00,304.0,4631.0,53.0,1330.0,7633.0,229.0,n/e,n/e,n/e,634.0,,215.0,58.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3793.0,2020-01-03,PL
20:00 - 21:00,303.0,4238.0,53.0,1304.0,7618.0,228.0,n/e,n/e,n/e,619.0,,194.0,58.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3654.0,2020-01-03,PL
21:00 - 22:00,304.0,3894.0,52.0,1303.0,7407.0,228.0,n/e,n/e,n/e,414.0,,186.0,7.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3680.0,2020-01-03,PL
22:00 - 23:00,295.0,3600.0,53.0,1282.0,7252.0,226.0,n/e,n/e,n/e,176.0,,184.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3327.0,2020-01-03,PL
23:00 - 00:00,263.0,3141.0,53.0,1331.0,7097.0,225.0,n/e,n/e,n/e,57.0,,184.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3332.0,2020-01-03,PL
00:00 - 01:00,255.0,3121.0,53.0,1253.0,6895.0,225.0,n/e,n/e,n/e,0.0,,149.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3645.0,2020-01-04,PL
01:00 - 02:00,253.0,2710.0,53.0,1395.0,6758.0,225.0,n/e,n/e,n/e,0.0,,144.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3970.0,2020-01-04,PL
02:00 - 03:00,252.0,2616.0,53.0,1427.0,6773.0,225.0,n/e,n/e,n/e,0.0,,144.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,4065.0,2020-01-04,PL
03:00 - 04:00,251.0,2519.0,53.0,1368.0,6610.0,225.0,n/e,n/e,n/e,0.0,,144.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,4290.0,2020-01-04,PL
04:00 - 05:00,252.0,2636.0,53.0,1317.0,6696.0,225.0,n/e,n/e,n/e,0.0,,144.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,4368.0,2020-01-04,PL
05:00 - 06:00,260.0,2649.0,53.0,1208.0,6673.0,224.0,n/e,n/e,n/e,0.0,,144.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,4582.0,2020-01-04,PL
06:00 - 07:00,264.0,2718.0,53.0,1271.0,6777.0,224.0,n/e,n/e,n/e,0.0,,143.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,4748.0,2020-01-04,PL
07:00 - 08:00,263.0,2933.0,53.0,1346.0,6826.0,224.0,n/e,n/e,n/e,0.0,,143.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,4728.0,2020-01-04,PL
08:00 - 09:00,262.0,3309.0,53.0,1371.0,6956.0,224.0,n/e,n/e,n/e,0.0,,148.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,4734.0,2020-01-04,PL
09:00 - 10:00,262.0,3636.0,53.0,1461.0,7149.0,224.0,n/e,n/e,n/e,18.0,,158.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,4707.0,2020-01-04,PL
10:00 - 11:00,264.0,3687.0,53.0,1438.0,7171.0,224.0,n/e,n/e,n/e,67.0,,159.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,4779.0,2020-01-04,PL
11:00 - 12:00,262.0,3721.0,53.0,1456.0,7254.0,224.0,n/e,n/e,n/e,354.0,,159.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,4650.0,2020-01-04,PL
12:00 - 13:00,263.0,3907.0,53.0,1456.0,7407.0,224.0,n/e,n/e,n/e,398.0,,150.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,4300.0,2020-01-04,PL
13:00 - 14:00,262.0,4184.0,52.0,1449.0,7401.0,224.0,n/e,n/e,n/e,263.0,,149.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,4039.0,2020-01-04,PL
14:00 - 15:00,265.0,4067.0,53.0,1431.0,7228.0,224.0,n/e,n/e,n/e,143.0,,149.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,4484.0,2020-01-04,PL
15:00 - 16:00,262.0,3764.0,53.0,1440.0,7270.0,224.0,n/e,n/e,n/e,171.0,,149.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,4442.0,2020-01-04,PL
16:00 - 17:00,265.0,3994.0,52.0,1439.0,7372.0,224.0,n/e,n/e,n/e,370.0,,172.0,50.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,4556.0,2020-01-04,PL
17:00 - 18:00,260.0,3843.0,53.0,1433.0,7288.0,225.0,n/e,n/e,n/e,430.0,,187.0,58.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,4457.0,2020-01-04,PL
18:00 - 19:00,263.0,3720.0,53.0,1421.0,7296.0,228.0,n/e,n/e,n/e,435.0,,191.0,58.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,4396.0,2020-01-04,PL
19:00 - 20:00,261.0,3492.0,53.0,1420.0,7265.0,228.0,n/e,n/e,n/e,359.0,,194.0,58.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,4450.0,2020-01-04,PL
20:00 - 21:00,262.0,3487.0,53.0,1455.0,7309.0,228.0,n/e,n/e,n/e,234.0,,174.0,7.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,4559.0,2020-01-04,PL
21:00 - 22:00,264.0,3346.0,53.0,1312.0,7210.0,228.0,n/e,n/e,n/e,18.0,,151.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,4531.0,2020-01-04,PL
22:00 - 23:00,263.0,3025.0,52.0,1259.0,7102.0,228.0,n/e,n/e,n/e,0.0,,149.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,4576.0,2020-01-04,PL
23:00 - 00:00,261.0,2566.0,51.0,1231.0,6867.0,228.0,n/e,n/e,n/e,0.0,,149.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,4599.0,2020-01-04,PL
00:00 - 01:00,253.0,2404.0,51.0,1205.0,6708.0,229.0,n/e,n/e,n/e,0.0,,138.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,4533.0,2020-01-05,PL
01:00 - 02:00,248.0,2546.0,51.0,1213.0,6807.0,229.0,n/e,n/e,n/e,0.0,,136.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,4340.0,2020-01-05,PL
02:00 - 03:00,249.0,2756.0,52.0,1214.0,6893.0,229.0,n/e,n/e,n/e,0.0,,135.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,4083.0,2020-01-05,PL
03:00 - 04:00,252.0,3066.0,52.0,1234.0,6855.0,228.0,n/e,n/e,n/e,0.0,,132.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3822.0,2020-01-05,PL
04:00 - 05:00,252.0,3250.0,52.0,1301.0,6767.0,228.0,n/e,n/e,n/e,0.0,,130.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3753.0,2020-01-05,PL
05:00 - 06:00,261.0,3239.0,53.0,1273.0,6734.0,228.0,n/e,n/e,n/e,0.0,,130.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3557.0,2020-01-05,PL
06:00 - 07:00,262.0,3068.0,53.0,1163.0,6700.0,227.0,n/e,n/e,n/e,0.0,,131.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3491.0,2020-01-05,PL
07:00 - 08:00,261.0,2727.0,53.0,1175.0,6774.0,226.0,n/e,n/e,n/e,0.0,,131.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,3197.0,2020-01-05,PL
08:00 - 09:00,264.0,2590.0,53.0,1190.0,6919.0,226.0,n/e,n/e,n/e,18.0,,144.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2885.0,2020-01-05,PL
09:00 - 10:00,263.0,2999.0,53.0,1321.0,6844.0,238.0,n/e,n/e,n/e,20.0,,150.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2522.0,2020-01-05,PL
10:00 - 11:00,261.0,3432.0,52.0,1398.0,6940.0,244.0,n/e,n/e,n/e,20.0,,150.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2041.0,2020-01-05,PL
11:00 - 12:00,261.0,3554.0,52.0,1314.0,6936.0,244.0,n/e,n/e,n/e,3.0,,145.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1773.0,2020-01-05,PL
12:00 - 13:00,265.0,3493.0,52.0,1262.0,6896.0,244.0,n/e,n/e,n/e,0.0,,143.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1560.0,2020-01-05,PL
13:00 - 14:00,264.0,3453.0,53.0,1299.0,6977.0,244.0,n/e,n/e,n/e,15.0,,143.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1336.0,2020-01-05,PL
14:00 - 15:00,262.0,3510.0,53.0,1235.0,7061.0,242.0,n/e,n/e,n/e,183.0,,141.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1111.0,2020-01-05,PL
15:00 - 16:00,217.0,3663.0,52.0,1281.0,7091.0,242.0,n/e,n/e,n/e,314.0,,146.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1092.0,2020-01-05,PL
16:00 - 17:00,189.0,4246.0,52.0,1374.0,7249.0,242.0,n/e,n/e,n/e,330.0,,162.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1196.0,2020-01-05,PL
17:00 - 18:00,226.0,4291.0,53.0,1223.0,7332.0,244.0,n/e,n/e,n/e,407.0,,179.0,50.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1434.0,2020-01-05,PL
18:00 - 19:00,261.0,4207.0,52.0,1224.0,7640.0,244.0,n/e,n/e,n/e,430.0,,190.0,58.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1589.0,2020-01-05,PL
19:00 - 20:00,261.0,4141.0,52.0,1213.0,7662.0,244.0,n/e,n/e,n/e,258.0,,206.0,58.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1589.0,2020-01-05,PL
20:00 - 21:00,262.0,3796.0,52.0,1213.0,7492.0,244.0,n/e,n/e,n/e,24.0,,190.0,7.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1643.0,2020-01-05,PL
21:00 - 22:00,264.0,3668.0,52.0,1220.0,7536.0,244.0,n/e,n/e,n/e,0.0,,178.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1724.0,2020-01-05,PL
22:00 - 23:00,262.0,3241.0,53.0,1230.0,7580.0,236.0,n/e,n/e,n/e,0.0,,149.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1773.0,2020-01-05,PL
23:00 - 00:00,239.0,2891.0,52.0,1235.0,7294.0,235.0,n/e,n/e,n/e,0.0,,146.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1791.0,2020-01-05,PL
00:00 - 01:00,199.0,3070.0,52.0,1178.0,7455.0,234.0,n/e,n/e,n/e,0.0,,145.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1870.0,2020-01-06,PL
01:00 - 02:00,203.0,2821.0,51.0,1169.0,7427.0,233.0,n/e,n/e,n/e,0.0,,146.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1981.0,2020-01-06,PL
02:00 - 03:00,246.0,2777.0,51.0,1167.0,7371.0,232.0,n/e,n/e,n/e,0.0,,146.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2071.0,2020-01-06,PL
03:00 - 04:00,251.0,2779.0,52.0,1166.0,7331.0,231.0,n/e,n/e,n/e,0.0,,140.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2196.0,2020-01-06,PL
04:00 - 05:00,251.0,2807.0,52.0,1171.0,7292.0,230.0,n/e,n/e,n/e,0.0,,138.0,0.0,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2222.0,2020-01-06,PL
