iter	Passed	Remaining
402	12832	19009
403	12865	18980
404	12900	18952
405	12933	18921
406	12967	18893
407	13003	18867
408	13037	18838
409	13075	18816
410	13110	18788
411	13143	18757
412	13173	18724
413	13204	18690
414	13234	18656
415	13267	18625
416	13301	18596
417	13334	18565
418	13386	18561
419	13415	18526
420	13448	18495
421	13478	18461
422	13511	18430
423	13542	18396
424	13572	18362
425	13600	18325
426	13629	18289
427	13660	18256
428	13691	18223
429	13722	18189
430	13755	18160
431	13784	18123
432	13814	18089
433	13845	18056
434	13877	18024
435	13909	17993
436	13942	17962
437	13975	17931
438	14011	17905
439	14057	17891
440	14090	17860
441	14123	17830
442	14158	17801
443	14192	17773
444	14229	17746
445	14274	17731
446	14334	17733
447	14375	17712
448	14421	17697
449	14458	17671
450	14495	17644
451	14533	17620
452	14589	17616
453	14658	17629
454	14696	17603
455	14738	17582
456	14773	17554
457	14822	17540
458	14867	17523
459	14919	17513
460	14957	17487
461	15040	17514
462	15097	17510
463	15132	17480
464	15166	17449
465	15195	17413
466	15226	17378
467	15253	17339
468	15286	17307
469	15318	17274
470	15346	17236
471	15373	17197
472	15402	17160
473	15441	17135
474	15466	17095
475	15492	17055
476	15518	17014
477	15545	16976
478	15568	16933
479	15594	16893
480	15619	16853
481	15645	16814
482	15670	16773
483	15697	16735
484	15726	16699
485	15753	16660
486	15784	16626
487	15814	16592
488	15841	16554
489	15865	16513
490	15893	16476
491	15917	16435
492	15946	16399
493	15972	16360
494	15998	16321
495	16024	16282
496	16049	16243
497	16076	16205
498	16100	16165
499	16125	16125
500	16149	16084
501	16173	16044
502	16196	16002
503	16219	15961
504	16244	15922
505	16269	15883
506	16294	15844
507	16321	15807
508	16346	15768
509	16370	15728
510	16393	15687
511	16423	15653
512	16450	15616
513	16478	15580
514	16501	15540
515	16526	15501
516	16551	15462
517	16576	15424
518	16600	15385
519	16624	15345
520	16647	15305
521	16675	15269
522	16704	15235
523	16729	15197
524	16762	15165
525	16790	15130
526	16818	15095
527	16843	15056
528	16868	15018
529	16922	15006
530	16949	14970
531	16975	14933
532	17002	14897
533	17026	14858
534	17053	14822
535	17079	14785
536	17107	14749
537	17133	14713
538	17157	14674
539	17184	14638
540	17208	14600
541	17235	14564
542	17259	14525
543	17286	14490
544	17312	14453
545	17336	14415
546	17362	14378
547	17387	14341
548	17414	14306
549	17439	14268
550	17465	14232
551	17490	14194
552	17519	14161
553	17545	14124
554	17571	14088
555	17598	14053
556	17623	14016
557	17648	13979
558	17671	13941
559	17695	13903
560	17720	13866
561	17747	13831
562	17771	13794
563	17798	13758
564	17822	13721
565	17850	13687
566	17875	13650
567	17899	13613
568	17923	13576
569	17950	13541
570	17974	13504
571	17999	13468
572	18026	13433
573	18053	13398
574	18082	13365
575	18133	13347
576	18160	13313
577	18186	13277
578	18213	13243
579	18236	13206
580	18265	13172
581	18293	13138
582	18317	13102
583	18344	13067
584	18368	13030
585	18393	12994
586	18416	12957
587	18440	12920
588	18464	12884
589	18489	12848
590	18513	12812
591	18535	12774
592	18562	12740
593	18589	12706
594	18612	12668
595	18636	12632
596	18660	12596
597	18684	12560
598	18712	12527
599	18736	12491
600	18760	12455
601	18782	12417
602	18811	12385
603	18838	12350
604	18862	12315
605	18889	12281
606	18915	12246
607	18943	12213
608	18973	12181
