Wall time,Step,Value
1696457477.8848279,1,0.28474074602127075
1696457785.901903,2,0.3350123465061188
1696458094.0788717,3,0.38192594051361084
1696458402.8305304,4,0.42138272523880005
1696458711.489543,5,0.44874075055122375
1696459020.7980092,6,0.4852839410305023
1696459330.0897405,7,0.5345185399055481
1696459638.4431863,8,0.5801481604576111
1696459946.4662347,9,0.6231604814529419
1696460254.780593,10,0.6568394899368286
1696460562.743972,11,0.6871604919433594
1696460870.1897984,12,0.7130864262580872
1696461177.8512807,13,0.7348148226737976
1696461486.19172,14,0.7517530918121338
1696461793.4899948,15,0.7661234736442566
1696462102.1581998,16,0.7812345623970032
1696462409.9169621,17,0.7947654128074646
1696462717.9780805,18,0.8019753098487854
1696463025.6207006,19,0.8081481456756592
1696463332.3724566,20,0.8142716288566589
1696463639.9443865,21,0.8267654180526733
1696463946.7696521,22,0.8286913633346558
1696464253.687171,23,0.8405432105064392
1696464561.5246975,24,0.8421728610992432
