iter	Passed	Remaining
401	12382	757664
402	12412	757587
403	12437	757220
404	12466	757040
405	12498	757136
406	12525	756865
407	12560	757058
408	12595	757305
409	12627	757360
410	12658	757340
411	12687	757185
412	12721	757326
413	12753	757378
414	12780	757119
415	12807	756895
416	12835	756654
417	12860	756321
418	12895	756538
419	12924	756407
420	12957	756468
421	12987	756434
422	13013	756133
423	13049	756390
424	13082	756462
425	13107	756111
426	13134	755868
427	13163	755714
428	13198	755947
429	13228	755883
430	13256	755679
431	13284	755466
432	13318	755650
433	13350	755665
434	13385	755894
435	13412	755649
436	13440	755489
437	13467	755231
438	13502	755457
439	13536	755598
440	13568	755630
441	13601	755735
442	13627	755427
443	13655	755216
444	13682	755022
445	13713	754967
446	13737	754569
447	13765	754424
448	13793	754215
449	13827	754340
450	13862	754559
451	13891	754456
452	13916	754126
453	13941	753758
454	13972	753741
455	14000	753594
456	14030	753519
457	14065	753676
458	14101	753937
459	14133	753974
460	14158	753657
461	14192	753778
462	14217	753490
463	14243	753178
464	14268	752839
465	14296	752682
466	14326	752618
467	14351	752296
468	14378	752048
469	14405	751866
470	14436	751829
471	14465	751690
472	14498	751829
473	14523	751472
474	14560	751792
475	14597	752086
476	14628	752051
477	14654	751782
478	14682	751618
479	14716	751757
480	14747	751776
481	14777	751688
482	14806	751568
483	14833	751365
484	14864	751362
485	14895	751345
486	14926	751337
487	14957	751301
488	14988	751282
489	15017	751203
490	15047	751133
491	15075	750956
492	15107	750979
493	15136	750877
494	15162	750640
495	15194	750668
496	15220	750391
497	15250	750338
498	15274	749988
499	15302	749827
500	15329	749638
501	15363	749733
502	15393	749700
503	15422	749592
504	15452	749529
505	15482	749462
506	15512	749381
507	15543	749388
508	15574	749362
509	15607	749462
510	15642	749651
511	15676	749754
512	15711	749968
513	15741	749905
514	15774	749969
515	15807	750043
516	15836	749958
517	15867	749924
518	15895	749789
519	15922	749590
520	15950	749426
521	15978	749264
522	16009	749247
523	16034	748947
524	16062	748832
525	16090	748660
526	16117	748478
527	16147	748412
528	16173	748176
529	16198	747887
530	16227	747801
531	16254	747592
532	16284	747538
533	16315	747500
534	16346	747523
535	16379	747574
536	16405	747352
537	16438	747410
538	16464	747216
539	16498	747301
540	16525	747134
541	16554	747019
542	16583	746916
543	16610	746735
544	16641	746721
545	16671	746668
546	16701	746625
547	16733	746650
548	16767	746769
549	16800	746848
550	16832	746887
551	16861	746787
552	16894	746858
553	16923	746775
554	16949	746545
555	16978	746457
556	17012	746551
557	17047	746743
558	17083	746942
559	17117	747057
560	17144	746881
561	17180	747059
562	17208	746949
563	17240	746952
564	17270	746912
565	17300	746872
566	17333	746923
567	17367	747060
568	17401	747179
569	17431	747122
570	17459	746953
571	17486	746798
572	17520	746894
573	17550	746847
574	17577	746679
575	17607	746595
576	17640	746681
577	17667	746513
578	17695	746362
579	17723	746233
580	17751	746091
581	17783	746116
582	17812	745998
583	17844	746036
584	17869	745773
585	17896	745624
586	17926	745564
587	17963	745797
588	17997	745890
589	18029	745933
590	18056	745756
591	18091	745899
592	18122	745885
593	18150	745771
594	18183	745848
595	18213	745776
596	18244	745780
597	18274	745728
598	18299	745457
599	18327	745330
600	18362	745449
601	18390	745332
602	18422	745352
603	18451	745249
604	18480	745180
605	18509	745090
606	18542	745171
607	18574	745183
608	18604	745112
609	18637	745189
610	18670	745256
611	18700	745200
612	18731	745184
613	18762	745167
614	18792	745143
615	18818	744902
616	18849	744923
617	18879	744861
618	18911	744888
619	18942	744876
620	18971	744778
621	19001	744739
622	19038	744933
623	19067	744846
624	19097	744795
625	19125	744685
626	19152	744488
627	19182	744461
628	19215	744515
629	19246	744491
630	19277	744477
631	19311	744580
632	19343	744627
633	19370	744451
634	19400	744415
635	19432	744429
636	19460	744307
637	19490	744231
638	19521	744219
639	19552	744228
640	19582	744173
641	19615	744209
642	19644	744122
643	19676	744167
644	19706	744093
645	19737	744103
646	19769	744126
647	19797	744011
648	19826	743906
649	19855	743824
650	19886	743794
651	19918	743816
652	19946	743685
653	19979	743758
654	20013	743847
655	20041	743739
656	20069	743620
657	20104	743737
658	20133	743668
659	20166	743706
660	20192	743514
661	20223	743509
662	20252	743423
663	20286	743528
664	20317	743493
665	20345	743374
666	20374	743303
667	20403	743195
668	20435	743217
669	20469	743322
670	20499	743271
671	20528	743171
672	20554	742994
673	20587	743050
674	20621	743145
675	20649	743029
676	20675	742826
677	20706	742796
678	20736	742762
679	20765	742657
680	20797	742709
681	20826	742616
682	20859	742653
683	20887	742540
684	20922	742686
685	20954	742698
686	20981	742542
687	21013	742574
688	21043	742513
689	21072	742419
690	21098	742245
691	21136	742450
692	21164	742337
693	21196	742378
694	21224	742232
695	21252	742118
696	21285	742169
697	21315	742117
698	21344	742058
699	21373	741980
700	21406	742012
701	21437	741995
702	21469	742032
703	21500	742024
704	21530	741978
705	21564	742044
706	21591	741887
707	21624	741949
708	21654	741917
709	21683	741803
710	21709	741649
711	21741	741651
712	21773	741670
713	21808	741791
714	21835	741637
715	21862	741495
716	21892	741428
717	21922	741388
718	21951	741313
719	21981	741265
720	22014	741328
721	22045	741290
722	22074	741237
723	22101	741075
724	22133	741095
725	22163	741051
726	22192	740966
727	22220	740845
728	22248	740717
729	22282	740807
730	22311	740719
731	22343	740743
732	22371	740653
733	22401	740596
734	22429	740467
735	22458	740385
736	22489	740384
737	22519	740341
738	22552	740395
739	22584	740418
740	22615	740390
741	22644	740294
742	22671	740162
743	22699	740056
744	22736	740225
745	22764	740133
746	22793	740045
747	22823	739983
748	22851	739873
